line_no,text,lg,l_id,folio,col,speaker
1,L'autrieꝛ un jour joueꝛ m'aloie,1,l-35v-2-1,35v,2,
2,deveꝛs l'auceꝛrois ſaint geꝛmain,1,l-35v-2-2,35v,2,
3,Plus matin que je ne ſouloie,1,l-35v-2-3,35v,2,
4,Qui ne lief pas voulentieꝛs main,1,l-35v-2-4,35v,2,
5,Si vi charlot enmi mavoie,1,l-35v-2-5,35v,2,
6,Qui le barbieꝛ tient par lamain,1,l-35v-2-6,35v,2,
7,Et bien mouſtroient touteuoie,1,l-35v-2-7,35v,2,
8,Qu'il neꝛeꝛt pas couſin geꝛmain,1,l-35v-2-8,35v,2,
9,Il ſe diſſoient vilanie,2,l-35v-2-9,35v,2,
10,Et ſigetoient gas devoir,2,l-35v-2-10,35v,2,
11,Charlot tu vas en compaignie,2,l-35v-2-11,35v,2,
12,Pour creſtienté decevoir,2,l-35v-2-12,35v,2,
13,Ceſt traiſon et felonnie,2,l-35v-2-13,35v,2,
14,Ce puet chaſcun aperceuoir,2,l-35v-2-14,35v,2,
15,La toue loy ſoit la honnie,2,l-35v-2-15,35v,2,
16,Tu nen aſpoint adire voir,2,l-35v-2-16,35v,2,
17,Barbieꝛ foi que doi la banliue,3,l-35v-2-17,35v,2,
18,On vous avez vostre repaire,3,l-35v-2-18,35v,2,
19,Vous avez une goute vive,3,l-35v-2-19,35v,2,
20,Jamés nieꝛt joꝛ qu'il ne vous peꝛe,3,l-35v-2-20,35v,2,
21,Sans ladꝛe arompu la triue,3,l-35v-2-21,35v,2,
22,Si vous afeꝛu el viaire,3,l-35v-2-22,35v,2,
23,Pour ce que cilz maus vous eſchine,3,l-36r-1-1,36r,1,
24,Ne requeres mais ſaintuaire,3,l-36r-1-2,36r,1,
25,Charles foi que doi .sainte. iame,4,l-36r-1-3,36r,1,
26,Vous avez ouan fame pꝛiſe,4,l-36r-1-4,36r,1,
27,Eſt ceſelonc laloy eſclame,4,l-36r-1-5,36r,1,
28,Que cayfas vous a apꝛiſſe,4,l-36r-1-6,36r,1,
29,Vous crees autant noste dame,4,l-36r-1-7,36r,1,
30,Ou virginité neſt mau miſe,4,l-36r-1-8,36r,1,
31,Com iecro cuns aſnes ait ame,4,l-36r-1-9,36r,1,
32,Vous namez Dieu ne ſainte ygliſſe,4,l-36r-1-10,36r,1,
33,Barbieꝛ ſans raſoꝛ ſanz touaille,5,l-36r-1-11,36r,1,
34,Qui ne ſes ronnieꝛ ne reꝛe,5,l-36r-1-12,36r,1,
35,Tu nas ne bacin neciſailles,5,l-36r-1-13,36r,1,
36,De quoi chaufes iaue cleꝛe,5,l-36r-1-14,36r,1,
37,Il neſt riens nee que tu vailles,5,l-36r-1-15,36r,1,
38,Foꝛs a dire parole ameꝛe,5,l-36r-1-16,36r,1,
39,Soutremeꝛ fus encoꝛ iailles,5,l-36r-1-17,36r,1,
40,Et fais pꝛoueſce qui ipeꝛe,5,l-36r-1-18,36r,1,
41,Charlos tu as toutes tes lois,6,l-36r-1-19,36r,1,
42,Tu es Juif et creſtien,6,l-36r-1-20,36r,1,
43,Tu es chevalier et bourjois,6,l-36r-1-21,36r,1,
44,Et quant tu veus cleꝛs arcien,6,l-36r-1-22,36r,1,
45,Tu es maqueꝛiau chaſcun mois,6,l-36r-1-23,36r,1,
46,Ce dient bien li ancien,6,l-36r-1-24,36r,1,
47,Tu fes ſouvent par ton gabois,6,l-36r-1-25,36r,1,
48,Ioindꝛe .ii. cus a .i. lien,6,l-36r-1-26,36r,1,
49,Barbieꝛ oꝛ eſt litemps venus,7,l-36r-1-27,36r,1,
50,De mau parleꝛ et demeſdire,7,l-36r-1-28,36r,1,
51,Et vous ſeꝛois ancois chanu,7,l-36r-1-29,36r,1,
52,Que vous leſſiez ceſte matieꝛe,7,l-36r-1-30,36r,1,
53,Mes vous mourez povres et mis,7,l-36r-1-31,36r,1,
54,Car vous deuenez delempire,7,l-36r-1-32,36r,1,
55,Se ſui pour maqueriau tenus,7,l-36r-1-33,36r,1,
56,Len vous retient aualidire,7,l-36r-1-34,36r,1,
57,Charlos charlos biau dous amis,8,l-36r-1-35,36r,1,
58,Tute fes as enfans le roi,8,l-36r-1-36,36r,1,
59,Se tu ies qui ci amis,8,l-36r-1-37,36r,1,
60,Tu ies autant comme amoi,8,l-36r-1-38,36r,1,
61,De ſembleꝛ fox ties entremis,8,l-36r-2-1,36r,2,
62,Mes par les ieus dont je te voi,8,l-36r-2-2,36r,2,
63,Tiex ta argent en paume mis,8,l-36r-2-3,36r,2,
64,Qui eſt aſſez plus fous detoi,8,l-36r-2-4,36r,2,
65,Barbieꝛ oꝛ vienent les groiſeles,9,l-36r-2-5,36r,2,
66,Li groiſeillieꝛ sont boꝛionne,9,l-36r-2-6,36r,2,
67,Et je vous rapoꝛt les nouuelles,9,l-36r-2-7,36r,2,
68,Quei front vos ſont li boꝛion ne,9,l-36r-2-8,36r,2,
69,Se ſai ſe ce feꝛont cenelles,9,l-36r-2-9,36r,2,
70,Qui ton vis ont auironne,9,l-36r-2-10,36r,2,
71,Ells ſeꝛont vermeilles et belles,9,l-36r-2-11,36r,2,
72,Avant que len ait moiſſonne,9,l-36r-2-12,36r,2,
73,Ce neſt une meſeleꝛie,10,l-36r-2-13,36r,2,
74,Charlos ancois eſt gouteꝛoſe,10,l-36r-2-14,36r,2,
75,Foy que je doi ſainte Marie,10,l-36r-2-15,36r,2,
