line_no,text,lg,l_id,folio,col,speaker
1,Seigneur je di pour voir Qui a entendement,1,l-123r-1-1,123r,1,
2,S'il n'entent a bien faire Qu'il oevre folement,1,l-123r-1-2,123r,1,
3,Car par les bones oevres Vient on a ſauvement,1,l-123r-1-3,123r,1,
4,Chaſcuns puet bien ſavoir Se je dis voir ou ment,1,l-123r-1-4,123r,1,
5,Cil qui en ſa jonece Veult le bien commencier,2,l-123r-1-5,123r,1,
6,S'il le veult pourſuivir Ja n'avra encombꝛier,2,l-123r-1-6,123r,1,
7,Diex le gart et deffent Qui li rent ſon loier,2,l-123r-1-7,123r,1,
8,Comme il fiſt a celui Dont vous m'oꝛrez nuncier,2,l-123r-1-8,123r,1,
9,En /Egypte manoit Au temps anciennour,3,l-123r-1-9,123r,1,
10,.I. Juif ou n'avoit Charité ne amour,3,l-123r-1-10,123r,1,
11,Voirres fiſt et voirriers Tel eſtoit ſon labour,3,l-123r-1-11,123r,1,
12,.I. enfancon avoit Diex l'amoit par amoꝛs,3,l-123r-1-12,123r,1,
13,Sus l'enfant du Juif Veil pꝛendꝛe ma matere,4,l-123r-1-13,123r,1,
14,Biaus fu et gracieus Et de bele manere,4,l-123r-1-14,123r,1,
15,Aus enfans creſtiens Faiſoit moult bele chiere,4,l-123r-1-15,123r,1,
16,Avec eulz ſe jouoit Et avant et arriere,4,l-123r-1-16,123r,1,
17,Plus croiſſoit le Juif Plus les enfans amoit,5,l-123r-1-17,123r,1,
18,Quant ſon pere le ſot Moult ſouvent le batoit,5,l-123r-1-18,123r,1,
19,Combien qu'il fuſt batus Poi[n]t ne ſ'en recreoit,5,l-123r-1-19,123r,1,
20,Quant pooit eſchaper Aus enfans ſe clamoit,5,l-123r-2-1,123r,2,
21,Par /ma loy creſtiens Mon pere ſi me bat,6,l-123r-2-2,123r,2,
22,Pour ce que avec vous Me ſoulace et eſbat,6,l-123r-2-3,123r,2,
23,Miex aing vo compaignie Que ne fais no ſabbat,6,l-123r-2-4,123r,2,
24,Son meſtier ne ſuivrai Fex eſt qui ſ'i embat,6,l-123r-2-5,123r,2,
25,Li enfes du Juis Si amoit les clergons,7,l-123r-2-6,123r,2,
