line_no,text,lg,l_id,folio,col,speaker
1,Av temps que cil Oiſiau ſauuage,1,l-23r-1-1,23r,1,
2,Chantēt doucemēt Maīt langage,1,l-23r-1-2,23r,1,
3,Aloie ſeulz par .I. boſcage,1,l-23r-1-3,23r,1,
4,.i. ceꝛf chacant,1,l-23r-1-4,23r,1,
5,Lichien aloiēt glatiſant,1,l-23r-1-5,23r,1,
6,Sieſcoutai ⁊ ou hautement,1,l-23r-1-6,23r,1,
7,Les vn deſtour,1,l-23r-1-7,23r,1,
8,Pucelle vi de noble atour,1,l-23r-1-8,23r,1,
9,Bien atournee,1,l-23r-1-9,23r,1,
10,Ne ceſtoit pas v՚s moi toꝛnee,1,l-23r-1-10,23r,1,
11,Mais ſa teſte adeſtournee,1,l-23r-1-11,23r,1,
12,De ſa couronne,1,l-23r-1-12,23r,1,
13,Son chief blōt doꝛe deſgalōne,1,l-23r-1-13,23r,1,
14,Tout le bꝛueil et le gaut Reſonne,1,l-23r-1-14,23r,1,
15,de ſon cleꝛ ton,1,l-23r-1-15,23r,1,
16,Maint dous veꝛbelet ⁊ maīt sō,1,l-23r-1-16,23r,1,
17,Faiſoit adont en ſa chancon,1,l-23r-1-17,23r,1,
18,Bien lentendi,1,l-23r-1-18,23r,1,
19,Elle chanta le gaut tanti,1,l-23r-1-19,23r,1,
20,Et ie coꝛnai le bois bondi,1,l-23r-1-20,23r,1,
21,Et elle ſetoꝛne,1,l-23r-1-21,23r,1,
22,Mais n'ot pas vis pēſie moꝛne,1,l-23r-1-22,23r,1,
23,Car on li ſoulaus quant Aiourne.,1,l-23r-1-23,23r,1,
24,v temps deſte,1,l-23r-1-24,23r,1,
25,Ne fu ſi cleꝛs en ſa clarté,1,l-23r-2-1,23r,2,
26,Cōme elle eſt en ſa clarté,1,l-23r-2-2,23r,2,
27,Dont memeꝛueille,1,l-23r-2-3,23r,2,
28,Chief ot blōt ⁊ petite oꝛeille,1,l-23r-2-4,23r,2,
29,Yeus atraiēs bouche v՚meille,1,l-23r-2-5,23r,2,
30,Goꝛge ot plꝰ blanche,1,l-23r-2-6,23r,2,
31,Q՚ neſt la noif deſus la bñche,1,l-23r-2-7,23r,2,
32,Le bꝛas eſtoit deſous lamāche,1,l-23r-2-8,23r,2,
33,Gras ⁊ roont,1,l-23r-2-9,23r,2,
34,Ne doi pas oublieꝛ lefront,1,l-23r-2-10,23r,2,
35,Qⁱ eſtoit le plus biau du mont,1,l-23r-2-11,23r,2,
36,⁊ ſon cleꝛ vis,1,l-23r-2-12,23r,2,
37,eſtoit plus biaus Que fleur delys,1,l-23r-2-13,23r,2,
38,Nuez polis,1,l-23r-2-14,23r,2,
39,poꝛ eſtre miex Lauoit nature,1,l-23r-2-15,23r,2,
40,Dun v՚meil roſe adꝛoiture,1,l-23r-2-16,23r,2,
41,Auſi cō d'une poꝛtraiture,1,l-23r-2-17,23r,2,
42,Deſſus ſa face,1,l-23r-2-18,23r,2,
43,Li cour eſtoit plꝰ blās q՚ glace,1,l-23r-2-19,23r,2,
44,Ne croi que dieus iamés Tel face.,1,l-23r-2-20,23r,2,
45,q՚ sōt les mains,1,l-23r-2-21,23r,2,
46,Li coꝛs eſt lons ⁊ gros ⁊ plaīs,1,l-23r-2-22,23r,2,
47,Les mameletes,1,l-23r-2-23,23r,2,
48,ſt՚ petites Et rondetes,1,l-23r-2-24,23r,2,
49,Vn pou plꝰ groſſes q՚ pōmetes,1,l-23r-2-25,23r,2,
50,Sous la cotelle,1,l-23r-2-26,23r,2,
51,peꝛoit lepis Et la foꝛcelle,1,l-23r-2-27,23r,2,
52,Ie croi q՚ de mille ſi belle,1,l-23r-2-28,23r,2,
53,Na mis memoire,1,l-23r-2-29,23r,2,
54,Sa cote eſtoit dū ſamis noire,1,l-23r-2-30,23r,2,
55,Trop bn̄ liſiſt ce poez croire,1,l-23r-2-31,23r,2,
56,A grant deuize,1,l-23r-2-32,23r,2,
57,La char eſtoit ſous lachemiſe,1,l-23r-2-33,23r,2,
58,Douce tandꝛe ⁊ aliſſe,1,l-23r-2-34,23r,2,
59,Sadꝛoit la los,1,l-23r-2-35,23r,2,
60,Graſſe eſtoit ſus deliez os,1,l-23r-2-36,23r,2,
61,Se diex me doīt pes ⁊ repos,1,l-23r-2-37,23r,2,
62,Elle chantoit,1,l-23r-2-38,23r,2,
63,.I. lay ſi bn̄ qui i conuenoit,1,l-23v-1-1,23v,1,
64,Et ſi doucement le notoit,1,l-23v-1-2,23v,1,
65,Q՚ oiſſillon,1,l-23v-1-3,23v,1,
66,venoient oir La chancon,1,l-23v-1-4,23v,1,
67,Elle ot haute vois ⁊ cleꝛ ton,1,l-23v-1-5,23v,1,
68,Si eſt apellee,1,l-23v-1-6,23v,1,
69,la blonde De lande doꝛee,1,l-23v-1-7,23v,1,
70,Deuāt moi eſtoit deſtrecee,2,l-23v-1-8,23v,1,
71,Les treſces blondes,2,l-23v-1-9,23v,1,
72,Si vōt ſur les talōs a ondes,2,l-23v-1-10,23v,1,
73,Creſpeletes ceſt toꝰ limondes,2,l-23v-1-11,23v,1,
74,Ce meſt auis,2,l-23v-1-12,23v,1,
75,Q՚lle auoit gēt coꝛs ⁊ cl՚ vis,2,l-23v-1-13,23v,1,
76,Les iex riās le nes traitis,2,l-23v-1-14,23v,1,
77,Et la bouche( groſſe) Petite veꝛmeillete,2,l-23v-1-15,23v,1,
78,Onc ne vi ſi ſauoꝛouſete,2,l-23v-1-16,23v,1,
79,Se dieus me ſaut,2,l-23v-1-17,23v,1,
80,Ie mareſtai en mi le gaut,2,l-23v-1-18,23v,1,
81,Le cueꝛ me fremit ⁊ treſaut,2,l-23v-1-19,23v,1,
82,De ſa biauté,2,l-23v-1-20,23v,1,
83,Li bois eſtoit v՚t fueillote,2,l-23v-1-21,23v,1,
84,Li oiſſiau poꝛ le tēps deſte,2,l-23v-1-22,23v,1,
85,Ses ioiſſoient,2,l-23v-1-23,23v,1,
86,Et ſur les arbꝛeſiaus chātoiēt,2,l-23v-1-24,23v,1,
87,Sous ⁊ lais et notes Diſſoient,2,l-23v-1-25,23v,1,
88,trop doucement,2,l-23v-1-26,23v,1,
89,Sen vōt ca ⁊ la flagolent,2,l-23v-1-27,23v,1,
90,Amours loant ⁊ relāt,2,l-23v-1-28,23v,1,
91,En leur latin,2,l-23v-1-29,23v,1,
92,Encoꝛe eſtoit aſſez matin,2,l-23v-1-30,23v,1,
93,La belle eſtoit deſous .i. pin,2,l-23v-1-31,23v,1,
94,Si eſcoutoit,2,l-23v-1-32,23v,1,
95,Les oyſſiaꝰ pꝰ recōmācoit,2,l-23v-1-33,23v,1,
96,Le lai q՚ ci tres bn̄ diſoit,2,l-23v-1-34,23v,1,
97,Quē ce teꝛme,2,l-23v-1-35,23v,1,
98,retentiſſoit Gaut et gaudine,2,l-23v-1-36,23v,1,
99,Bois et pꝛés de ſa uois Seꝛine,2,l-23v-1-37,23v,1,
100,fet retentir,2,l-23v-2-1,23v,2,
101,Ie qua li regardeꝛ tentir,2,l-23v-2-2,23v,2,
102,Metint tous quoir sās mot tentir,2,l-23v-2-3,23v,2,
103,Et el m'auize,2,l-23v-2-4,23v,2,
104,Mes neſt pas pour moy ētrep՚ſe,2,l-23v-2-5,23v,2,
105,Leua ſoi quelle eſtoit aſſiſſe,2,l-23v-2-6,23v,2,
106,Moult doucement,2,l-23v-2-7,23v,2,
107,Ma dit poinſonnet bn̄ veinant,2,l-23v-2-8,23v,2,
108,Liceꝛs ſen ua ꝑ ci courāt,2,l-23v-2-9,23v,2,
109,Droit veꝛs le bos,2,l-23v-2-10,23v,2,
110,Mais vos cheuaus Vient moult repos,2,l-23v-2-11,23v,2,
111,Car moult eſt aus eſpeꝛos los,2,l-23v-2-12,23v,2,
112,Si conme ie croi,2,l-23v-2-13,23v,2,
113,Faites que ſage crees moi,2,l-23v-2-14,23v,2,
114,Demoines vꝰ auecq՚s moi,2,l-23v-2-15,23v,2,
115,Si me dirés,2,l-23v-2-16,23v,2,
116,Des nouuelles q՚ vꝰ ſauez,2,l-23v-2-17,23v,2,
117,Et ie ſe oir ē volez vꝰ,2,l-23v-2-18,23v,2,
118,ē diray,2,l-23v-2-19,23v,2,
119,Auſi de celles q՚ ie ſai,2,l-23v-2-20,23v,2,
120,Ie deſcens ſaus faire delai,2,l-23v-2-21,23v,2,
121,Sila ſalue,2,l-23v-2-22,23v,2,
122,Celle qui neſt pas esꝑdue,2,l-23v-2-23,23v,2,
123,Mefiſt ſeoir ſus leꝛbe dꝛue,2,l-23v-2-24,23v,2,
124,Loꝛs me demande,2,l-23v-2-25,23v,2,
125,Sire fiſt elle ie ē grande,3,l-23v-2-26,23v,2,
126,Ml՚t eſté de ceſte demande,3,l-23v-2-27,23v,2,
127,Que ceſt amours,3,l-23v-2-28,23v,2,
128,Ha; belle ceſt plesās doulours,3,l-23v-2-29,23v,2,
129,Leeſce plaine de triſtours,3,l-23v-2-30,23v,2,
130,Dont mis ne veult,3,l-23v-2-31,23v,2,
131,gueꝛir Des maus dōt il ſe deut,3,l-23v-2-32,23v,2,
132,Mes en ioie ⁊ ē gré requeut,3,l-23v-2-33,23v,2,
133,Tout le vouloir,3,l-23v-2-34,23v,2,
134,De celle qui le fait doloir,3,l-23v-2-35,23v,2,
135,Amͦs ſia ml՚t gñt pouoir,3,l-23v-2-36,23v,2,
136,Conme eſpeꝛites,3,l-23v-2-37,23v,2,
137,Les vns fait liez les aut՚s triſtres,3,l-23v-2-38,23v,2,
138,Et ne rent pas touz ioꝛs meꝛitez,3,l-24r-1-1,24r,1,
139,Se lonc de ſeꝛtes,3,l-24r-1-2,24r,1,
140,Quamours ſe rent Aus uns apeꝛtes,3,l-24r-1-3,24r,1,
141,Aus autres cellee couueꝛte,3,l-24r-1-4,24r,1,
142,Pour ſa maiſtrie,3,l-24r-1-5,24r,1,
143,Am˞s eſt en paour hardie,3,l-24r-1-6,24r,1,
144,Q՚ lou elle eſt plus aſaillie,3,l-24r-1-7,24r,1,
145,Plus entrepꝛent,3,l-24r-1-8,24r,1,
146,Amours ſengendꝛe En regardant,3,l-24r-1-9,24r,1,
147,Oꝛ me dites raiſon ꝯmēt,3,l-24r-1-10,24r,1,
148,Ie uous empꝛi,3,l-24r-1-11,24r,1,
149,Ma damoiſſelle vés le ci,3,l-24r-1-12,24r,1,
150,Tout auſi ſoſt cō ie vꝰ vi,3,l-24r-1-13,24r,1,
151,Ie uous amai,3,l-24r-1-14,24r,1,
152,P˞ la biauté q՚ ieſgardai,3,l-24r-1-15,24r,1,
153,⁊ p˞ le bn̄ qu'ā vous trouuai,3,l-24r-1-16,24r,1,
154,Car par nature,3,l-24r-1-17,24r,1,
155,Ainme on la belle creature,3,l-24r-1-18,24r,1,
156,Qñt on voit ſa douce faiture,3,l-24r-1-19,24r,1,
157,Et par raiſon,3,l-24r-1-20,24r,1,
158,Doit ō ameꝛ sō maītiē bon,3,l-24r-1-21,24r,1,
159,Ces .ij. choſes ē vꝰ trouuō,3,l-24r-1-22,24r,1,
160,Qui vous eſgarde,3,l-24r-1-23,24r,1,
161,Diſt celle qͥ neſt pas muſarde,3,l-24r-1-24,24r,1,
162,Dieus fiſt elle ꝯme il me Larde.,3,l-24r-1-25,24r,1,
163,de biau parleꝛ,3,l-24r-1-26,24r,1,
164,Mais oꝛ leſſōs ſe ci eſteꝛ,3,l-24r-1-27,24r,1,
165,Mes pꝰ quam˞s poꝛ eſgard՚,3,l-24r-1-28,24r,1,
166,Eſt engendꝛee,3,l-24r-1-29,24r,1,
167,Conmēt eſt elle v cueꝛ gardee,3,l-24r-1-30,24r,1,
168,Ou neſt pas toꝰ ioꝛs ala bee;,3,l-24r-1-31,24r,1,
169,En regardant,3,l-24r-1-32,24r,1,
