line_no,text,lg,l_id,folio,col,speaker
1,A La douce louenge De /la vierge marie,1,l-99v-1-1,99v,1,
2,Veil dire .I. biau dit Qⁱ eſt sāz vilenie,1,l-99v-1-2,99v,1,
3,Poꝛ pñdꝛe bone eſſemple En ceſte moꝛtel vie,1,l-99v-1-3,99v,1,
4,De ꝯ feſſer touz ceus Qⁱ ne non eu envie,1,l-99v-1-4,99v,1,
5,UN ml՚t bel eſſemplaire voꝰ vodꝛai recoꝛd՚,2,l-99v-1-5,99v,1,
6,Com̄t /la douce dame Sait ſes amis ſauuer,2,l-99v-1-6,99v,1,
7,En cōtre l'anemi Qⁱ noꝰ ueuſt crauēter,2,l-99v-1-7,99v,1,
8,⁊ nos deſuoie touz Q՚ n'aillons ꝯfeſſer,2,l-99v-1-8,99v,1,
9,Iadis (fu )vne boꝛgoiſe Demourant a/rōme,3,l-99v-1-9,99v,1,
10,Ml՚t eſtoit bele dame ⁊ sō mari jōne home,3,l-99v-1-10,99v,1,
11,Il ſ'entramoient ml՚t D'auoir oꝛēt gñt sōme,3,l-99v-1-11,99v,1,
12,As poures genz dōnoient Aſſez de bn̄s ꝑ /rōme,3,l-99v-1-12,99v,1,
13,De leur bn̄s fez eſtoit Par tot le renō gñt,4,l-99v-1-13,99v,1,
14,Il oꝛent de .ii. anz .I. ml՚t tres bel enfant,4,l-99v-1-14,99v,1,
15,Il eſtoit valeton Si l'amerent foꝛment,4,l-99v-1-15,99v,1,
16,Li p՚udō n'ēot plꝰ En treſtot sō viuant,4,l-99v-1-16,99v,1,
17,UNe nuit jut malades Enſon lit li boꝛgois,5,l-99v-1-17,99v,1,
18,C'eſt le lit de la moꝛt Dont nullui n'a de fois,5,l-99v-1-18,99v,1,
19,A ſa fame ala Si li dit maintes fois,5,l-99v-1-19,99v,1,
20,Pl՚ſiex qⁱ sūt mout A /ih՚ucriſt coꝛtois,5,l-99v-2-1,99v,2,
21,DAme dit li boꝛgois P˞ dex ie voꝰ requier,6,l-99v-2-2,99v,2,
22,Donez aus poures genz Qⁱ en ont gñt meſt՚,6,l-99v-2-3,99v,2,
23,Voꝰ auez bn̄ de quoi Diex deuez m՚cier,6,l-99v-2-4,99v,2,
24,De voſtͤ enfant penſez ⁊ ſile tenez chier,6,l-99v-2-5,99v,2,
25,SIre dit la boꝛioiſe Tout a vr՚e talant,7,l-99v-2-6,99v,2,
26,Aus poures genz Donrai aſſez ⁊ largem̄t,7,l-99v-2-7,99v,2,
27,De voſtͤ ē fant auſi Penſerai voirem̄t,7,l-99v-2-8,99v,2,
28,Ia pis n'aura de moi Sachiez c՚tainement,7,l-99v-2-9,99v,2,
29,CIl l'en a marcié Pꝰ manda sō curé,8,l-99v-2-10,99v,2,
30,Qⁱ ſes dꝛoiz li donaſt Qñt l'ot bn̄ ꝯ feſſe,8,l-99v-2-11,99v,2,
31,Loꝛs ail le moꝛſel De la moꝛt en dure,8,l-99v-2-12,99v,2,
32,Qⁱ n'eſpargne nullui Foꝛt. floibe n'aduré,8,l-99v-2-13,99v,2,
33,GRant duel fiſt la boꝛioiſe Sachiez de ſon mari,9,l-99v-2-14,99v,2,
34,Car ml՚t ꝑt ē ceſt ſiecle Qⁱ ꝑt vn bon ami,9,l-99v-2-15,99v,2,
35,A tant me voudꝛai taire Plꝰ n'ē ꝑlerai ci,9,l-99v-2-16,99v,2,
36,De ſon fil voꝰ weil dire Com̄t il fu nouri,9,l-99v-2-17,99v,2,
37,LA dame l'ama ml՚t Mētir ne voꝰ en quier,10,l-99v-2-18,99v,2,
38,Tāt l'ama q՚le fiſt Auecq՚s lui couchier,10,l-99v-2-19,99v,2,
39,Il crut ⁊ en barmi Gñt fu foꝛt ⁊ legier,10,l-100r-1-1,100r,1,
40,De li ne uoſt ſa mere Tant ne qñt eſloignier,10,l-100r-1-2,100r,1,
41,LI ualez devint gñz Si fu en bon aage,11,l-100r-1-3,100r,1,
42,De ſoi aꝑceuoir Si dit en ſon courage,11,l-100r-1-4,100r,1,
43,De geſir oſam՚e Certes c'eſt gñt folage,11,l-100r-1-5,100r,1,
44,De ce q՚l le le ſe ufre Ne la tint pas aſage,11,l-100r-1-6,100r,1,
45,IL ſ'en vait aſam՚e ⁊ ſi l'a reſſōna,12,l-100r-1-7,100r,1,
46,Mere dit li valez Entendez amoi ca,12,l-100r-1-8,100r,1,
47,Faites moi faire .i. lit Ailleurs ou coucherai,12,l-100r-1-9,100r,1,
48,Ne g՚rrai plꝰ ovous Ꝑ dieu qⁱ tout foꝛma,12,l-100r-1-10,100r,1,
49,IE voꝰ dirai p˞ quoi Ce ſeroit gñt folie,13,l-100r-1-11,100r,1,
50,Nature me ſemont De ce ne doutez mie,13,l-100r-1-12,100r,1,
51,A pechié de luxure Par aucune foie,13,l-100r-1-13,100r,1,
52,Si veil ailleurs geſir Sanz faire gñt de tͥe,13,l-100r-1-14,100r,1,
53,SA m՚e le regarde Sil'en peſa foꝛm̄t,14,l-100r-1-15,100r,1,
54,Car ele l'ama ml՚t Sachiez c՚tainem̄t,14,l-100r-1-16,100r,1,
55,A nul mal n'i penſoit Si li dit erranment,14,l-100r-1-17,100r,1,
56,Ailleurs n'iras geſir Par mō ꝯmandem̄t,14,l-100r-1-18,100r,1,
57,BIen ſai a quoi tu pēſes De ce n'eſtue douter,15,l-100r-1-19,100r,1,
58,Tu veus aus folles fames Aler ⁊ abiter,15,l-100r-2-1,100r,2,
59,Poꝛ deſtruire tō coꝛs ⁊ du tot affoll՚,15,l-100r-2-2,100r,2,
60,Ie te couroucerai Se plꝰ t'en oï ꝑl՚,15,l-100r-2-3,100r,2,
61,LI fil dit a ſam՚e Q՚ plꝰ n'ē ꝑlera,16,l-100r-2-4,100r,2,
62,L'anemi les eſcoute Qⁱ ml՚t gñt ioie en a,16,l-100r-2-5,100r,2,
63,A pechié de luxure Treſtoz .ii. les metra,16,l-100r-2-6,100r,2,
64,Dont la boꝛioiſe amoꝛt Se il puet traitera,16,l-100r-2-7,100r,2,
65,LA nuit q՚ il durent Au lit al՚ geſir,17,l-100r-2-8,100r,2,
66,L'anemi fu ml՚t p՚ſt Qⁱ les voud˜ trair,17,l-100r-2-9,100r,2,
67,Le fil fiſt a ſamere Engendꝛer sāz m̄tir,17,l-100r-2-10,100r,2,
68,Qñt ot fait sō malice Enli n'ot q՚s ioir,17,l-100r-2-11,100r,2,
69,ENcoꝛ leur fera pis Si ꝯ oꝛrez cont՚,18,l-100r-2-12,100r,2,
70,La boꝛioiſe engroiſſa Lonc tēs pͥſt apenſer,18,l-100r-2-13,100r,2,
71,⁊ la tint l'anemi Ne ſ'oſa ꝯfeſſer,18,l-100r-2-14,100r,2,
72,Honteuſe fu foꝛmēt ⁊ dolente en penſer,18,l-100r-2-15,100r,2,
73,LA boꝛioiſe de robe Veſti a sō vouloir,19,l-100r-2-16,100r,2,
74,Nului de ſa groiſſece Ne ſe ꝑ ſeuoir,19,l-100r-2-17,100r,2,
75,Si la tint l'anemi ⁊ la ſot deceuoir,19,l-100r-2-18,100r,2,
76,Q՚ de le ꝯfeſſer N'auoit poīt de pouoir,19,l-100r-2-19,100r,2,
77,MEs ſe deuant ot fet Aumoſnes largem̄t,20,l-100v-1-1,100v,1,
78,Plus en fiſt ele ap՚s Sachiez c՚tainem̄t,20,l-100v-1-2,100v,1,
79,⁊ ſon pechié plouroit Souent ml՚t coiem̄t,20,l-100v-1-3,100v,1,
80,/La m՚e dieu pͥoit Au moutier doucem̄t,20,l-100v-1-4,100v,1,
81,Elle fiſt tant de biens Si ꝯdit li eſcris,21,l-100v-1-5,100v,1,
82,Li renō en fu gñt Par treſtot le pais,21,l-100v-1-6,100v,1,
83,Gñt honeur li poꝛtoient Li gñz ⁊ li petis,21,l-100v-1-7,100v,1,
84,De ſon pechié ne ſ'eſt Nul ame garde pꝛis,21,l-100v-1-8,100v,1,
85,LI anemi en fu Coꝛrocié ⁊ dolant,22,l-100v-1-9,100v,1,
86,Le terme a˞pcha Q՚ dut auoir enfant,22,l-100v-1-10,100v,1,
87,Le ioꝛ vint sāz demeure Le mal li pͥſt errant,22,l-100v-1-11,100v,1,
88,Oez ꝯ l'a nemi La de cut plꝰ foꝛmēt,22,l-100v-1-12,100v,1,
89,EN .I. v՚gier entra Qñt sō mal en goiſſa,23,l-100v-1-13,100v,1,
90,Loing fu de tote gent Toute ſeule iala,23,l-100v-1-14,100v,1,
91,⁊ la tige d'ū arbꝛe Ꝑ deſtrece em bꝛaca,23,l-100v-1-15,100v,1,
92,D'un biau fiz. en la place Tentoſt ſe de liura,23,l-100v-1-16,100v,1,
93,ML՚t foꝛt ſe dem̄ta Qñt elle tint l'enfant,24,l-100v-1-17,100v,1,
94,L'anemi fu delez Foꝛmēt la ua tentant,24,l-100v-1-18,100v,1,
95,Laſſe dit la boꝛioiſe Q՚ ferai maītenant,24,l-100v-1-19,100v,1,
96,Ie l'eſtrangleré ia N'ira plus en auāt,24,l-100v-2-1,100v,2,
97,L'Anemi fu ml՚t p՚s Q՚ foꝛm̄t la haſta,25,l-100v-2-2,100v,2,
98,L'anfant pͥſt ē ſes maīs Tentoſt le deuoꝛa,25,l-100v-2-3,100v,2,
