line_no,text,lg,l_id,folio,col,speaker
1,Par la grace de Dieu Noſtre ſouverain pere,1,l-135r-2-5,135r,2,
2,Vel parler .i. petit De /ſa tres douce Mere,1,l-135r-2-6,135r,2,
3,D'une de ſes vertus Vous dirai la manere,1,l-135r-2-7,135r,2,
4,Dont la matere fu Hoꝛriblement amere,1,l-135r-2-8,135r,2,
5,Bon fait ſervir tel dame Con /la Virge Marie,2,l-135r-2-9,135r,2,
6,C'eſt /cele qui poꝛta /Le tres doulz fruit de vie,2,l-135r-2-10,135r,2,
7,Ou cel en terre en mer Doit bien eſtre ſervie,2,l-135r-2-11,135r,2,
8,Cuers qui a lui ſe pꝛent Richement ſe marie.,2,l-135r-2-12,135r,2,
9,Un de ſes [biaus ]miracles vous voudꝛai raconter,3,l-135v-1-1,135v,1,
10,Que toutes bones gens Doivent bien eſcouter,3,l-135v-1-2,135v,1,
11,Cil qui bien loiaument La veult de cuer amer,3,l-135v-1-3,135v,1,
12,Doit volentiers tous joꝛs De li oir parler,3,l-135v-1-4,135v,1,
13,De .ii. freres germains vous veil ramentevoir,4,l-135v-1-5,135v,1,
14,Li uns ot une fille Riches hons fu d'avoir,4,l-135v-1-6,135v,1,
15,Mais la moꝛt qui le pꝛiſt L'a fait le cuer doloir,4,l-135v-1-7,135v,1,
16,Tantost manda ſon frere Il vint ſans remanoir,4,l-135v-1-8,135v,1,
17,Biau dous freres diſt il Il me convient moꝛir,5,l-135v-1-9,135v,1,
18,Je vous leſſe du tout Ma fille maintenir,5,l-135v-1-10,135v,1,
19,Cil diſt ſ'ele ſe veult A mon voloir tenir,5,l-135v-1-11,135v,1,
20,Nient plus qu'a mon enfant Ne li vouldꝛai faillir,5,l-135v-1-12,135v,1,
21,Quant li pꝛeudons fu moꝛs Sa fille ſ'en ala,6,l-135v-1-13,135v,1,
22,En la maiſon ſon oncle .II. ans y demoꝛa.,6,l-135v-1-14,135v,1,
23,Poꝛ l'amoꝛ de ſon pere Moult d'aumoſnes donna,6,l-135v-1-15,135v,1,
24,En /la Virge Marie Treſtout ſon cuer mis a,6,l-135v-1-16,135v,1,
25,En /Nostre Dame amer Miſt treſtout ſon coꝛage,7,l-135v-1-17,135v,1,
26,Nuit et joꝛ voloit eſtre Devant ſon dous ymage,7,l-135v-1-18,135v,1,
27,En lire ſon pſaltier Miſt treſtout ſon uſage,7,l-135v-1-19,135v,1,
28,Mais li malvés li fiſt Deſtourbier et domage,7,l-135v-1-20,135v,1,
29,Ainſi com vous oꝛrez Aſſez prochainement,8,l-135v-2-1,135v,2,
30,Oez com li mauvez La decut laidement,8,l-135v-2-2,135v,2,
31,Tant pourchaca dëables Par ſon enchantement,8,l-135v-2-3,135v,2,
32,Qu'ele fu ſe don oncle Enceinte vraiement,8,l-135v-2-4,135v,2,
33,Nului de ſa groſſeſſe Garde ne ſe dona,9,l-135v-2-5,135v,2,
34,Poꝛ ce qu'ele ot grant robes Dont elle ſe para,9,l-135v-2-6,135v,2,
35,Quant ſe dut delivrer En .i. ſolier ala,9,l-135v-2-7,135v,2,
36,Par l'enging l'ennemi Son enfant eſtrangla,9,l-135v-2-8,135v,2,
37,Adonques le geta Dedens une privee,10,l-135v-2-9,135v,2,
38,Liez fu li ennemis Quant ainſi l'a temptee,10,l-135v-2-10,135v,2,
39,Loꝛs fu la pecherreſſe Foꝛment deſconfoꝛtee,10,l-135v-2-11,135v,2,
40,/La douce mere Dieu A de cuer reclamee,10,l-135v-2-12,135v,2,
41,Devant ſon dous ymage Se va agenoillier,11,l-135v-2-13,135v,2,
42,A lui ſe plaint foꝛment Du felon adverſier,11,l-135v-2-14,135v,2,
43,Que dedens les pechiez Li face trebuchier,11,l-135v-2-15,135v,2,
44,Et le maint a bon poꝛt /Son fil que tant a chier,11,l-135v-2-16,135v,2,
45,Le felon Sathenas Ne ſe tint mus a tant,12,l-135v-2-17,135v,2,
46,Aſſez prochainement Refu groſſe d'enfant,12,l-135v-2-18,135v,2,
47,De ſon oncle mes nulz Ne ſ'en va percevant.,12,l-135v-2-19,135v,2,
48,Quant elle fu delivre Si l'eſtrangla errant,12,l-136r-1-1,136r,1,
49,Trois en ot de ſon oncle Et tous les eſtrangla,13,l-136r-1-2,136r,1,
50,Ne ſon oncle ne autre Garde ne ſ'en donna,13,l-136r-1-3,136r,1,
51,Dedens une pꝛivee Les .iii. enfans geta,13,l-136r-1-4,136r,1,
52,Ainſi li ennemis Par .iii. foys la tempta,13,l-136r-1-5,136r,1,
53,Encoꝛ li fiſt il pis Si com m'oꝛrez conter,14,l-136r-1-6,136r,1,
54,En .i. ſolier la fiſt Toute ſeule enfermer,14,l-136r-1-7,136r,1,
55,D'une temptation Li va ſon coꝛps tempter,14,l-136r-1-8,136r,1,
