line_no,text,lg,l_id,folio,col,speaker
1,A toutes bones gens ne deuroit pas deſplaire,1,l-104v-2-1,104v,2,
2,Qu'oÿr de /nr՚e dame Bon exāple retraire,1,l-104v-2-2,104v,2,
3,Car on y puet des coꝛps Les ames ſauues faire,1,l-104v-2-3,104v,2,
4,A ceulz a qͥ deſpleſt( dou) Doit toꝛner a cōtraire,1,l-104v-2-4,104v,2,
5,Par bon exāple oir Se puet l'ē amēder,2,l-104v-2-5,104v,2,
6,Et vous en voudꝛa dire Sel volez eſcouter,2,l-104v-2-6,104v,2,
7,Cōment /la douce dame Sot ſes amis garder,2,l-104v-2-7,104v,2,
8,Du mauuais qui les veult Sous pꝛēdꝛe ⁊ ēgignier,2,l-104v-2-8,104v,2,
9,Qñt plus eſt hōme ⁊ fame v՚s dieu humilieus,3,l-104v-2-9,104v,2,
10,Et v՚s /ſa douce m՚e De grace gracieus,3,l-104v-2-10,104v,2,
11,Plus eſt li ēnemis D'ēgīgnier curieus,3,l-104v-2-11,104v,2,
12,Ne ſi n'ē ſera ia( ioꝛ n) Iour ne nuit oublieus,3,l-104v-2-12,104v,2,
13,Il noꝰ eſt teſmoignié En la ſainte eſcripture,4,l-104v-2-13,104v,2,
14,.ij. chl՚rs eſtoient Li vns plaīs de luxure,4,l-104v-2-14,104v,2,
15,En amer dieu ne ſaint Ne miſt onq՚s ſa cure,4,l-104v-2-15,104v,2,
16,Ne a /la m՚e dieu /Qⁱ eſt ⁊ nete et pure,4,l-104v-2-16,104v,2,
17,Certes mal l'ē auint Auſi cō voꝰ oꝛrez,5,l-104v-2-17,104v,2,
18,Se ie en ſui de voꝰ Creu ne eſcoutez,5,l-104v-2-18,104v,2,
19,De l'autre chlr Auant ꝑler oꝛrez,5,l-104v-2-19,104v,2,
20,Qⁱ moult eſtoit pꝛeudōs De /nr՚e dame amez,5,l-105r-1-1,105r,1,
21,Il eſtoit ml՚t uaillant Et plaī de bone vie,6,l-105r-1-2,105r,1,
22,Si auoit /nr՚e dame Honoꝛee et ſeruie,6,l-105r-1-3,105r,1,
23,En ſon viu āt li fu Sa gñt bōté merie,6,l-105r-1-4,105r,1,
24,Encoꝛe miex aſſez Q՚ ſ'ame en fu guerie,6,l-105r-1-5,105r,1,
25,Ces .ij. chl՚rs furent An deulz de gñt renon,7,l-105r-1-6,105r,1,
26,Il ſ'entr'amerent moult Si furent cōpaignon,7,l-105r-1-7,105r,1,
27,Mais li pꝛeudōs a l'autre Mouuoit ſouuēt tē con.,7,l-105r-1-8,105r,1,
28,S'il le vouſiſt croire De ſa ſaluation,7,l-105r-1-9,105r,1,
29,Entre les .ij. maiſons Pres d'une liue auoit,8,l-105r-1-10,105r,1,
30,De bois gñt ⁊ foillu Qⁱ a eulz .ii. eſtoit,8,l-105r-1-11,105r,1,
31,Mais li pꝛeudōs ſouuēt P gñt amour venoit,8,l-105r-1-12,105r,1,
32,A l'autre de biē faire Souuēt l'admōneſtoit,8,l-105r-1-13,105r,1,
33,UN ioꝛ furent enſamble Ande us li ꝯpaignō,9,l-105r-1-14,105r,1,
34,Li pꝛeudōs diſt a l'autre Ꝑ bone entention,9,l-105r-1-15,105r,1,
35,Sire cō paīs poꝛ dieu Qⁱ ſouffri paſſion,9,l-105r-1-16,105r,1,
36,Muez vr՚e coꝛage A biē cōme pꝛeudō,9,l-105r-1-17,105r,1,
37,Et l'autre reſpōdi vne folie gñt,10,l-105r-1-18,105r,1,
38,Sire cōpaīs diſt il Qⁱ m'alez pꝛeechant,10,l-105r-1-19,105r,1,
39,Tant cō ſerai iones M'irai ie deduiant,10,l-105r-2-1,105r,2,
40,Et qñt ie ſerai viel M'irai ꝯu՚tiſſant,10,l-105r-2-2,105r,2,
41,Li pꝛeudōs reſpōdi Oꝛ eſt ce trop mal dit,11,l-105r-2-3,105r,2,
42,Noꝰ n'auōs de nos vies .I. ſeul ioꝛ de reſpit,11,l-105r-2-4,105r,2,
43,Se la moꝛt voꝰ queure ſus De vos biēs fais petit,11,l-105r-2-5,105r,2,
44,De mouſtrer deuāt dieu Loꝛs ot cil gñt deſpit,11,l-105r-2-6,105r,2,
45,Moult coꝛrouciez li diſt Trop ſarmōnez de fable,12,l-105r-2-7,105r,2,
46,Taiſiez voꝰ de ꝑ dieu Ou de ꝑ le dëable,12,l-105r-2-8,105r,2,
47,Voſtre ſermō hui mes Ne tē dꝛai a eſtable,12,l-105r-2-9,105r,2,
48,Ce poiſe moi diſt l'autre Ꝑ dieu l'eſpitable,12,l-105r-2-10,105r,2,
49,Le pꝛeudon chl՚r A ſon hoſtel ala,13,l-105r-2-11,105r,2,
50,A dieu sō ꝯpaignon Doucem̄t ꝯmanda,13,l-105r-2-12,105r,2,
51,De ce qu'il li ot dit Point ne ſ'en coꝛrouca,13,l-105r-2-13,105r,2,
52,Aincois pꝛie poꝛ li Car ml՚t foꝛm̄t l'ama,13,l-105r-2-14,105r,2,
53,Le pꝛeudō chl՚r S'en ala maītenāt,14,l-105r-2-15,105r,2,
