line_no,text,lg,l_id,folio,col,speaker
1,QVant amoꝛs ot bien entendu,1,l-198Gv-1-1,198Gv,1,
2,Que me fui a bele rendu,1,l-198Gv-1-2,198Gv,1,
3,Pou qui ſus moy ot coꝛne pͥſe,1,l-198Gv-1-3,198Gv,1,
4,Si me retint en sō ſeruice,1,l-198Gv-1-4,198Gv,1,
5,Et me pꝛia ml՚t doucem̄t,1,l-198Gv-1-5,198Gv,1,
6,Q՚ le ſeruice bonem̄t,1,l-198Gv-1-6,198Gv,1,
7,Et q՚ ml՚t de biens me feroit,1,l-198Gv-1-7,198Gv,1,
8,Et tant con le bois duerroit,1,l-198Gv-1-8,198Gv,1,
9,Ie m'y pooie eſbanoier,1,l-198Gv-1-9,198Gv,1,
10,Ꝑ tout ſans nul lieu foꝛnoier,1,l-198Gv-1-10,198Gv,1,
11,Qñt biauté m'auoit arreſte,1,l-198Gv-1-11,198Gv,1,
12,Et diſt qu'il eſtoit apꝛeſté,1,l-198Gv-1-12,198Gv,1,
13,De poꝛter moy honoꝛ ⁊ ioie,1,l-198Gv-1-13,198Gv,1,
14,Tant que en sō bois remaīdꝛoit,1,l-198Gv-1-14,198Gv,1,
15,Mais biē me diſt ſe i'ē iſſoie,1,l-198Gv-1-15,198Gv,1,
16,Iamais el bois ne retoꝛroie,1,l-198Gv-1-16,198Gv,1,
17,Car il ſauoit bien ſans mentir,1,l-198Gv-1-17,198Gv,1,
18,Nature nel puet ꝯſentir,1,l-198Gv-1-18,198Gv,1,
19,Ainſi ſerui amoꝛs ⁊ dame,1,l-198Gv-1-19,198Gv,1,
20,De cuer de volēté ⁊ d'ame,1,l-198Gv-1-20,198Gv,1,
21,Sans tēps coꝛs auoir ⁊ chaſtel,1,l-198Gv-1-21,198Gv,1,
22,Mis en ſeruir qu'il n'i a tel,1,l-198Gv-2-1,198Gv,2,
23,Ꝯ ſeruir qñt en gré eſt pꝛis,1,l-198Gv-2-2,198Gv,2,
24,Mais de biauté fu ſi eſpꝛis,1,l-198Gv-2-3,198Gv,2,
25,Q՚ ne ſoi ſe ie meſpꝛenoie,1,l-198Gv-2-4,198Gv,2,
26,De l'eſtat ou me maītenoie,1,l-198Gv-2-5,198Gv,2,
27,Qⁱ encoꝛe eſtoie el bois iane,1,l-198Gv-2-6,198Gv,2,
28,Ou nul de ce monde n'aſſane,1,l-198Gv-2-7,198Gv,2,
29,Qⁱl ne conuiēgne foꝛnoier,1,l-198Gv-2-8,198Gv,2,
30,Aucune fois ⁊ foloier,1,l-198Gv-2-9,198Gv,2,
31,Ꝑ nule bois tant cōme il dure,1,l-198Gv-2-10,198Gv,2,
32,Et tant ꝯ le ſueffre nature,1,l-198Gv-2-11,198Gv,2,
33,Et le veult el bois maītenir,1,l-198Gv-2-12,198Gv,2,
34,Nēnil ne ſ'en vouldꝛoit venir,1,l-198Gv-2-13,198Gv,2,
35,Hoꝛs de ſon gré ſ'a foꝛce nō,1,l-198Gv-2-14,198Gv,2,
36,De viellece doutent le nō,1,l-198Gv-2-15,198Gv,2,
37,Nul ne ſ'i embat volent՚s,1,l-198Gv-2-16,198Gv,2,
38,Qⁱ de ionece les ſentiers,1,l-198Gv-2-17,198Gv,2,
39,Puiſſe tenir ē nule guiſe,1,l-198Gv-2-18,198Gv,2,
40,Chaſcuns redoute ſon ſeruice,1,l-198Gv-2-19,198Gv,2,
41,Et ſ'i embat chaſcuns a paīne,1,l-198Gv-2-20,198Gv,2,
42,Tant q՚ nature les ymaine,1,l-198Gv-2-21,198Gv,2,
43,Et qⁱl leur conuient ꝯſentir,1,l-198Gv-2-22,198Gv,2,
44,Et l'en du ſi q՚ ie ne mēte,1,l-198Gv-2-23,198Gv,2,
45,Qⁱ en jeu entre jeu ꝯsēte,1,l-198Gv-2-24,198Gv,2,
46,Adont q՚ ie me fu rendu,2,l-198Gv-2-25,198Gv,2,
47,Ml՚t bonem̄t ay entēdu,2,l-198Gv-2-26,198Gv,2,
48,Au ſeruice faire ou i'eſtoie,2,l-198Gv-2-27,198Gv,2,
49,Car biauté foꝛm̄t me meſtroie,2,l-198Gv-2-28,198Gv,2,
50,Et les .ij. chiens renō ⁊ los,2,l-198Gv-2-29,198Gv,2,
51,Me tiēnent ſe biē dire l'os,2,l-198Gv-2-30,198Gv,2,
52,Q՚ riens ne me puet eſioir,2,l-198Gv-2-31,198Gv,2,
53,Tant cō la vois de chieſoir,2,l-198Gv-2-32,198Gv,2,
54,Car ſi toſt cō ie l'a ꝑdue,2,l-198Gv-2-33,198Gv,2,
55,Et n'ai de biauté la veue,2,l-198Gv-2-34,198Gv,2,
56,Le coꝛps trāble couleur me mue,2,l-198Gv-2-35,198Gv,2,
57,Le cuer me faut ⁊ ſi treſſue,2,l-198Gv-2-36,198Gv,2,
58,D'angoiſſe ſi tres f՚mem̄t,2,l-198Gv-2-37,198Gv,2,
