line_no,text,lg,l_id,folio,col,speaker
1,ENtre engleterre Et noꝛmendie,1,l-46v-1-9,46v,1,
2,Cefurēt .ij.,1,l-46v-1-10,46v,1,
3,Ie croi q՚ ce ſeꝛoit Mes pꝛeus,1,l-46v-1-11,46v,1,
4,Ꝑ ſaint thoumas,1,l-46v-1-12,46v,1,
5,Ml՚t eſt folz qͥ ſe claīme mas,1,l-46v-1-13,46v,1,
6,Au p՚mieꝛ cop,1,l-46v-1-14,46v,1,
7,Oꝛifeꝛons treſtout acop,1,l-46v-1-15,46v,1,
8,Sur les chaitis,1,l-46v-1-16,46v,1,
9,Bons eſt touz ioꝛs lipaīs faitis,1,l-46v-1-17,46v,1,
10,D'oſtoꝛement,1,l-46v-1-18,46v,1,
11,Iele vi plꝰ noir q՚rremēt,1,l-46v-1-19,46v,1,
12,De duel ⁊ dire,1,l-46v-2-1,46v,2,
13,Nus ne pourroit ꝯteꝛ ne dire,1,l-46v-2-2,46v,2,
14,Sa biauté,1,l-46v-2-3,46v,2,
15,Qⁱ ainme hōnoꝛ ⁊ loyauté,1,l-46v-2-4,46v,2,
16,Il eſt garis,1,l-46v-2-5,46v,2,
17,Ie fui deuāt ieꝛ aparis,1,l-46v-2-6,46v,2,
18,Apꝛendꝛe dart,1,l-46v-2-7,46v,2,
19,Tiex ſecuide chaufeꝛ qͥſart,1,l-46v-2-8,46v,2,
20,S'auient ſouuent,1,l-46v-2-9,46v,2,
21,Il a ayuri .i. ciyyēt,1,l-46v-2-10,46v,2,
22,De buueoꝛs,1,l-46v-2-11,46v,2,
23,Mencongnes de p՚cheoꝛs,1,l-46v-2-12,46v,2,
24,Nous ont hōni,1,l-46v-2-13,46v,2,
25,Tout li doi nesōt pas ōni,1,l-46v-2-14,46v,2,
26,De vr՚e main,1,l-46v-2-15,46v,2,
27,Ditez iuenrez vꝰ demain,1,l-46v-2-16,46v,2,
28,Se diex vꝰ gart,1,l-46v-2-17,46v,2,
29,Elle me geta .i. regart,1,l-46v-2-18,46v,2,
30,Qui ma tue,1,l-46v-2-19,46v,2,
31,Vos dꝛapel furēt il bue,1,l-46v-2-20,46v,2,
32,Qⁱ ſi ſont blanc,1,l-46v-2-21,46v,2,
33,Auiz me tiēt une goute v flāc,1,l-46v-2-22,46v,2,
34,Contre le ſoir,1,l-46v-2-23,46v,2,
35,Se diex te garte dime tu uoir,1,l-46v-2-24,46v,2,
36,Eſt il pendus,1,l-46v-2-25,46v,2,
37,Les ſairemēs ſt՚ deſfandus,1,l-46v-2-26,46v,2,
38,Ce ma len dit,1,l-46v-2-27,46v,2,
39,Dras il en a tant aulendit,1,l-46v-2-28,46v,2,
40,Q՚ ceſt miracle,1,l-46v-2-29,46v,2,
41,La poſtole ⁊ le patriache,1,l-46v-2-30,46v,2,
42,Si ſont moꝛt,1,l-46v-2-31,46v,2,
43,Ceꝛtes ml՚t eſt fox qͥ ſa moꝛt,1,l-46v-2-32,46v,2,
44,A pechié faire,1,l-46v-2-33,46v,2,
45,Il na mes ne p՚uſt nemaire,1,l-46v-2-34,46v,2,
46,Enceſte ville,1,l-46v-2-35,46v,2,
47,Combn̄ ail iuſq̃ .s՚. gille,1,l-46v-2-36,46v,2,
48,De roem,1,l-46v-2-37,46v,2,
49,Bifes on leſfait acaam,1,l-46v-2-38,46v,2,
50,Bonne ⁊ belle,1,l-47r-1-1,47r,1,
51,Sonce dames ou damoiſſelles,1,l-47r-1-2,47r,1,
52,Par dela,1,l-47r-1-3,47r,1,
53,Ce fu .i. cleꝛc qui auala,1,l-47r-1-4,47r,1,
54,De ce ſolieꝛ,1,l-47r-1-5,47r,1,
55,Mauués meſt՚ a en colieꝛ,1,l-47r-1-6,47r,1,
56,Se dieus meuoie,1,l-47r-1-7,47r,1,
57,Il eſt moꝛs liqn̄s deſauoie,1,l-47r-1-8,47r,1,
58,Il ne vit mais,1,l-47r-1-9,47r,1,
59,Ceꝛtes onq՚s nē trai mes,1,l-47r-1-10,47r,1,
60,Enloheꝛaine,1,l-47r-1-11,47r,1,
61,Souſſecretain vi chāteꝛ raine,1,l-47r-1-12,47r,1,
62,De coulons,1,l-47r-1-13,47r,1,
63,Le uons matin ſe noꝰ voulōs,1,l-47r-1-14,47r,1,
64,Faire ioꝛnee,1,l-47r-1-15,47r,1,
65,Aſtu ta citole atempꝛee,1,l-47r-1-16,47r,1,
66,Au vileꝛi,1,l-47r-1-17,47r,1,
67,Par ſaint lienart d'andeli,1,l-47r-1-18,47r,1,
68,Iemuir de ſoi,1,l-47r-1-19,47r,1,
69,Les bles il ſt՚ tuit clos deſoi,1,l-47r-1-20,47r,1,
70,En alé maingne,1,l-47r-1-21,47r,1,
71,Ie ne cuit mais q՚ ceās maīgne,1,l-47r-1-22,47r,1,
72,En ceſte rue,1,l-47r-1-23,47r,1,
73,Il neſt tel h՚be cōme rue,1,l-47r-1-24,47r,1,
74,A regardeꝛ,1,l-47r-1-25,47r,1,
75,Nus hons ne ſen poꝛroit gard՚,1,l-47r-1-26,47r,1,
76,De traiſon,1,l-47r-1-27,47r,1,
77,Qⁱ eſt longuemēt ē pꝛiſon,1,l-47r-1-28,47r,1,
78,Neſt mi aiſe,1,l-47r-1-29,47r,1,
79,Seingn˞ aiie riēs qͥ vꝰ plaiſe,1,l-47r-1-30,47r,1,
80,Dites le moy,1,l-47r-1-31,47r,1,
81,Ceſt anoyon q՚ .s՚. eloy,1,l-47r-1-32,47r,1,
82,Eſt aoure,1,l-47r-1-33,47r,1,
83,Il ouuiēt q՚ tu me des armes,1,l-47r-1-34,47r,1,
84,I'ai trop de chaut,1,l-47r-1-35,47r,1,
85,Oꝛ ifeꝛons de chaut ē chaut,1,l-47r-1-36,47r,1,
86,Il ſont alé,1,l-47r-1-37,47r,1,
87,Ceſt trop bon mes de buef ſale,1,l-47r-1-38,47r,1,
88,⁊ main ⁊ ſoir,1,l-47r-2-1,47r,2,
89,Lagoute qͥ mepͥſt eꝛſoir,1,l-47r-2-2,47r,2,
90,Fu elle foꝛt,1,l-47r-2-3,47r,2,
91,.ij. lieues a de chaſtiau foꝛt,1,l-47r-2-4,47r,2,
92,Iuſqu'a cheureuſe,1,l-47r-2-5,47r,2,
93,Ꝑ dieu fame neſt pas voiſeuſe,1,l-47r-2-6,47r,2,
94,Qⁱ des vvide,1,l-47r-2-7,47r,2,
95,Helas ma bourſe eſt toute vvide,1,l-47r-2-8,47r,2,
96,Demōnoie,1,l-47r-2-9,47r,2,
97,Maleureus eſt qͥ ſe noie,1,l-47r-2-10,47r,2,
98,De ſon gré,1,l-47r-2-11,47r,2,
99,Ꝑ vn bn̄ petitet degre,1,l-47r-2-12,47r,2,
100,Va on bn̄ haut,1,l-47r-2-13,47r,2,
101,Il ne me chaut ꝯuīt il aut,1,l-47r-2-14,47r,2,
102,S'il ne manuie,1,l-47r-2-15,47r,2,
103,Ceſt trop anieus teps q՚ lapluie,1,l-47r-2-16,47r,2,
104,Ce me ſemble,1,l-47r-2-17,47r,2,
105,Elas tretout lecueꝛ me tñble,1,l-47r-2-18,47r,2,
106,Il mueꝛt de froit,1,l-47r-2-19,47r,2,
107,Ie ne fui onq՚s ſi deſtroit,1,l-47r-2-20,47r,2,
108,COm deloꝛeille,1,l-47r-2-21,47r,2,
109,Pñt ces des ſiles apareille,1,l-47r-2-22,47r,2,
110,Peꝛ apeꝛ,1,l-47r-2-23,47r,2,
111,Il (ſa) ſeꝛa ia tēps deſoupeꝛ,1,l-47r-2-24,47r,2,
112,Metez la table,1,l-47r-2-25,47r,2,
113,Onq՚s ne ſos rōmās na fable,1,l-47r-2-26,47r,2,
114,Raconteꝛ,1,l-47r-2-27,47r,2,
115,Iuſq̃ combn̄ ſeſtu conteꝛ,1,l-47r-2-28,47r,2,
116,Quans poins aci,1,l-47r-2-29,47r,2,
117,Ie nentrai onq՚s agaci,1,l-47r-2-30,47r,2,
118,Iour de mauie,1,l-47r-2-31,47r,2,
119,Entre traiſon ⁊ ēuie,1,l-47r-2-32,47r,2,
120,Ont pͥs bataille,1,l-47r-2-33,47r,2,
121,Eſce panel ou rois ou q̃ille,1,l-47r-2-34,47r,2,
122,Soꝛ ton col,1,l-47r-2-35,47r,2,
123,Diſtu q՚ celle q՚ ia tol,1,l-47r-2-36,47r,2,
124,Neſt pas coꝛtoiſe,1,l-47r-2-37,47r,2,
125,Ie ui q՚ deuāt ieꝛ a pōtoiſe,1,l-47r-2-38,47r,2,
126,Vn beꝛbeteꝛ,1,l-47v-1-1,47v,1,
127,Onq՚s degñt pieꝛre geteꝛ,1,l-47v-1-2,47v,1,
128,Noi voulenté,1,l-47v-1-3,47v,1,
129,Metēt qñt il ſt՚ bn̄ ente,1,l-47v-1-4,47v,1,
130,Sont ml՚t plaiſant,1,l-47v-1-5,47v,1,
131,Onq՚s namai chiē meſfaisā,1,l-47v-1-6,47v,1,
132,Ne iour ne nuit,1,l-47v-1-7,47v,1,
133,Lariēs du mōt qͥ plꝰ menuit,1,l-47v-1-8,47v,1,
134,Ceſt tart couch՚,1,l-47v-1-9,47v,1,
135,En coꝛ neſet ſon nes mouch՚,1,l-47v-1-10,47v,1,
136,Cilz qui la va,1,l-47v-1-11,47v,1,
137,Celle qͥ eꝛſoir me laua,1,l-47v-1-12,47v,1,
138,Neſt pas pucelle,1,l-47v-1-13,47v,1,
139,Ꝑ .i. ſeul meſtrait demeꝛelle,1,l-47v-1-14,47v,1,
140,Lai peꝛdu,1,l-47v-1-15,47v,1,
141,Foi q՚ tu dois .s՚. hōnoꝛe,1,l-47v-1-16,47v,1,
142,Court mes griache,1,l-47v-1-17,47v,1,
143,N՚re dame la ſetēbꝛeſche,1,l-47v-1-18,47v,1,
144,Elle eſt paſſee,1,l-47v-1-19,47v,1,
145,Mainte fame ſi eſt fardee,1,l-47v-1-20,47v,1,
146,De coton,1,l-47v-1-21,47v,1,
147,Ꝑ amour oꝛ leſcouton,1,l-47v-1-22,47v,1,
148,A fran baiſſe,1,l-47v-1-23,47v,1,
149,Maīt hōme ē ōt eſté boiſe,1,l-47v-1-24,47v,1,
150,Ꝑ faus regart,1,l-47v-1-25,47v,1,
