line_no,text,lg,l_id,folio,col,speaker
1,Auſſi com cil qui garde en mue,1,l-86v-1-10,86v,1,
2,Son oiſel qui ne ſe remue,1,l-86v-1-11,86v,1,
3,Detout liueꝛ juſques aleſte,1,l-86v-1-12,86v,1,
4,Quant voit que la uerdure est dꝛue,1,l-86v-1-13,86v,1,
5,Qu'il veut que ſon oiſel ſemue,1,l-86v-1-14,86v,1,
6,Et deplume et deuolente,1,l-86v-1-15,86v,1,
7,Quant [vient] autens renouuele,1,l-86v-1-16,86v,1,
8,Que il na mes pieca vole,1,l-86v-1-17,86v,1,
9,Pour ſoulacieꝛ lepꝛent et rue,1,l-86v-1-18,86v,1,
10,Et quant il a de lair taſte,1,l-86v-1-19,86v,1,
11,Poy li chaut du tans qu'a gaſté,1,l-86v-1-20,86v,1,
12,Ainſi ai mamie perdue,1,l-86v-1-21,86v,1,
13,Je fui aufueꝛ du fauconnieꝛ,2,l-86v-2-23,86v,1,
14,Quant il pꝛant .i. faucon lanieꝛ,2,l-86v-2-24,86v,2,
15,Voulentieꝛs lapꝛiue ſeꝛoit,2,l-86v-2-25,86v,2,
16,et ſi licouſte mout alacointieꝛ,2,l-86v-2-26,86v,2,
17,Et ſi lepeꝛt moult delegieꝛ,2,l-86v-2-27,86v,2,
18,Si lepeꝛt ce neſt mie dꝛoit,2,l-86v-2-28,86v,2,
19,Lafame eſt bien de tel endꝛoit,2,l-86v-2-29,86v,2,
20,Que qui plus laimme et plus lacroit,2,l-86v-2-30,86v,2,
21,Si penſelle dengingnieꝛ,2,l-86v-2-31,86v,2,
22,Celle fame maudite ſoit,2,l-86v-2-32,86v,2,
23,Qui aupremieꝛ loume decoit,2,l-86v-2-33,86v,2,
24,et puis reſemble leſperuieꝛ,2,l-86v-2-34,86v,2,
25,Iele di pour mamie chieꝛe,2,l-86v-2-35,86v,2,
26,Qui biau ſemblant et bele chieꝛe,2,l-86v-2-36,86v,2,
27,Mefiſt alen coumencement,2,l-86v-2-37,86v,2,
28,Mes oꝛ la truis veꝛs moy ſi fieꝛe,2,l-86v-2-38,86v,2,
29,Pour .i. autre mamis arrieꝛe,2,l-86v-2-39,86v,2,
30,Ci a petit acointement,2,l-86v-2-40,86v,2,
31,Ielai ſeꝛvie bonnement,2,l-86v-2-41,86v,2,
32,Elle men rent lepaiement,2,l-86v-2-42,86v,2,
33,Auſſi com de tous en rivieꝛe,2,l-86v-2-43,86v,2,
34,ſe je ſceuſſe ſon couuent,2,l-86v-2-44,86v,2,
35,Seꝛuie leuſſe autrement,2,l-86v-2-45,86v,2,
36,A laguiſe deſa manieꝛe,2,l-86v-2-46,86v,2,
37,Mes li homs ſemble lepoiſſon,3,l-86v-2-47,86v,2,
38,Qui par trace ſuit lamecon,3,l-86v-2-48,86v,2,
39,Et fait que il [est] pꝛiſe alain,3,l-86v-2-49,86v,2,
40,Il ne ſcet pas la traiſon,3,l-86v-2-50,86v,2,
41,Et ce que on amis en ſon,3,l-86v-2-51,86v,2,
42,Devant que il eſt pres alamain,3,l-86v-2-52,86v,2,
43,Ainſſi fet fame acueꝛ vilain,3,l-86v-2-53,86v,2,
44,Qui dit moncueꝛ mamoꝛ ietain,3,l-86v-2-54,86v,2,
45,Biau ſemblant et cueꝛ debon,3,l-86v-2-55,86v,2,
46,De telles en ja tout plain,3,l-86v-2-56,86v,2,
47,Nemeblaſmes ſeieme plain,3,l-86v-2-57,86v,2,
48,Je ne me duel ſe d'une non,3,l-86v-2-58,86v,2,
49,Puis que fame quieꝛt le ſoulas,4,l-86v-2-59,86v,2,
50,Dautre tenir entre ſes bꝛas,4,l-86v-2-60,86v,2,
51,Que celui dont elle eſt acointe,4,l-86v-2-61,86v,2,
52,Soit ſon mari ou no ſoit pas,4,l-86v-2-62,86v,2,
53,Il eſt fox par /ſaint Nicholas,4,l-87r-1-1,87r,1,
54,Se il latient mignote et cointe,4,l-87r-1-2,87r,1,
