line_no,text,lg,l_id,folio,col,speaker
1,IL auint iadis en .i. temps,1,l-42r-1-5,42r,1,
2,Bn̄ a paſſé .iiijc. ans,1,l-42r-1-6,42r,1,
3,Q՚ il eſtoit .i. riches hom,1,l-42r-1-7,42r,1,
4,Ie ne ſe pas nōmeꝛ ſon non,1,l-42r-1-8,42r,1,
5,Mes il eſtoit de gñt manieꝛe,1,l-42r-1-9,42r,1,
6,De p՚s de bois ⁊ deꝛiueꝛe,1,l-42r-1-10,42r,1,
7,⁊ de qñ qua fieꝛt a riche hōme,1,l-42r-1-11,42r,1,
8,De ce vous weil dire la sōme,1,l-42r-1-12,42r,1,
9,Auoit de ce nefaut pas dire,1,l-42r-1-13,42r,1,
10,Liez hōs eſtoit sāz nesū ire,1,l-42r-1-14,42r,1,
11,Il auoit .i. manoir ſibel,2,l-42r-1-15,42r,1,
12,En bourc nen ville nē chaſtel,2,l-42r-1-16,42r,1,
13,Se le voir vꝰ en weil conteꝛ,2,l-42r-1-17,42r,1,
14,En tout le mōde n'ot ſon peꝛ,2,l-42r-2-1,42r,2,
15,Ne ſi biau ne ſi delitable,2,l-42r-2-2,42r,2,
16,Li contes vꝰ enſembleꝛont fable,2,l-42r-2-3,42r,2,
17,Qⁱ vꝰ endiroit la facon,2,l-42r-2-4,42r,2,
18,Ie ne cuit q՚ ainz face hom,2,l-42r-2-5,42r,2,
19,Tel donion ne ſi riche tour,2,l-42r-2-6,42r,2,
20,Eſcoutez ſeigneur ꝑ amour,2,l-42r-2-7,42r,2,
21,Entour couroit vne riuieꝛe,3,l-42r-2-8,42r,2,
22,Belle ⁊ cleꝛe degñt manieꝛe,3,l-42r-2-9,42r,2,
23,Qⁱ enclooit tout le poꝛpꝛis,3,l-42r-2-10,42r,2,
24,⁊ vn v՚gieꝛ qui fu depꝛis,3,l-42r-2-11,42r,2,
25,I auoit darbꝛes diaue ēclos,3,l-42r-2-12,42r,2,
26,Cilz qui le fiſt ne fu pas ſols,3,l-42r-2-13,42r,2,
27,Ce fu .i. ch՚r gentils,3,l-42r-2-14,42r,2,
28,Ap՚s le peꝛe lot li fils,3,l-42r-2-15,42r,2,
29,Qⁱ le vendi a vn vilain,3,l-42r-2-16,42r,2,
30,Ainſi ala demaī en main,3,l-42r-2-17,42r,2,
31,Tous ſauez bn̄ q՚ ꝑ mal hoir,4,l-42r-2-18,42r,2,
32,Se dechieent maint bel auoir,4,l-42r-2-19,42r,2,
33,⁊ mainte t՚re ⁊ mainte rente,4,l-42r-2-20,42r,2,
34,Ꝑ le ſur crois de male vente,4,l-42r-2-21,42r,2,
35,Liveꝛgieꝛs fu biaus adeuiſe,4,l-42r-2-22,42r,2,
36,Arbꝛes iot demainte guiſſe,4,l-42r-2-23,42r,2,
37,Q՚ ie ne ſe mie nōmeꝛ,4,l-42r-2-24,42r,2,
38,Mes poꝛ uoir vꝰ puis racōt՚,4,l-42r-2-25,42r,2,
39,Qⁱl y auoit roſes ⁊ flours,4,l-42r-2-26,42r,2,
