line_no,text,lg,l_id,folio,col,speaker
1,Au temps que cil Oiſiau ſauvage,1,l-23r-1-1,23r,1,
2,Chantent doucement Maint langage,1,l-23r-1-2,23r,1,
3,Aloie ſeulz par .I. boſcage,1,l-23r-1-3,23r,1,
4,.I. ceꝛf chacant,1,l-23r-1-4,23r,1,
5,Lichien aloient glatiſant,1,l-23r-1-5,23r,1,
6,Sieſcoutai et ou hautement,1,l-23r-1-6,23r,1,
7,Les un deſtour,1,l-23r-1-7,23r,1,
8,Pucelle vi de noble atour,1,l-23r-1-8,23r,1,
9,Bien atournee,1,l-23r-1-9,23r,1,
10,Ne ceſtoit pas vers moi toꝛnee,1,l-23r-1-10,23r,1,
11,Mais ſa teſte adeſtournee,1,l-23r-1-11,23r,1,
12,De ſa couronne,1,l-23r-1-12,23r,1,
13,Son chief blont doꝛe deſgalonne,1,l-23r-1-13,23r,1,
14,Tout le bꝛueil et le gaut Reſonne,1,l-23r-1-14,23r,1,
15,de ſon cleꝛ ton,1,l-23r-1-15,23r,1,
16,Maint dous veꝛbelet et maint ſon,1,l-23r-1-16,23r,1,
17,Faiſoit adont en ſa chancon,1,l-23r-1-17,23r,1,
18,Bien lentendi,1,l-23r-1-18,23r,1,
19,Elle chanta le gaut tanti,1,l-23r-1-19,23r,1,
20,Et je coꝛnai le bois bondi,1,l-23r-1-20,23r,1,
21,Et elle ſetoꝛne,1,l-23r-1-21,23r,1,
22,Mais n'ot pas vis penſie moꝛne,1,l-23r-1-22,23r,1,
23,Car on li ſoulaus quant Aiourne.,1,l-23r-1-23,23r,1,
24,v temps deſte,1,l-23r-1-24,23r,1,
25,Ne fu ſi cleꝛs en ſa clarté,1,l-23r-2-1,23r,2,
26,Comme elle eſt en ſa clarté,1,l-23r-2-2,23r,2,
27,Dont memeꝛueille,1,l-23r-2-3,23r,2,
28,Chief ot blont et petite oꝛeille,1,l-23r-2-4,23r,2,
29,Yeus atraiens bouche vermeille,1,l-23r-2-5,23r,2,
30,Goꝛge ot plus blanche,1,l-23r-2-6,23r,2,
31,Que neſt la noif deſus la branche,1,l-23r-2-7,23r,2,
32,Le bꝛas eſtoit deſous lamanche,1,l-23r-2-8,23r,2,
33,Gras et roont,1,l-23r-2-9,23r,2,
34,Ne doi pas oublieꝛ lefront,1,l-23r-2-10,23r,2,
35,Qui eſtoit le plus biau du mont,1,l-23r-2-11,23r,2,
36,Et ſon cleꝛ vis,1,l-23r-2-12,23r,2,
37,eſtoit plus biaus Que fleur delys,1,l-23r-2-13,23r,2,
38,Nuez polis,1,l-23r-2-14,23r,2,
39,poꝛ eſtre miex Lauoit nature,1,l-23r-2-15,23r,2,
40,Dun vermeil roſe adꝛoiture,1,l-23r-2-16,23r,2,
41,Auſi com d'une poꝛtraiture,1,l-23r-2-17,23r,2,
