line_no,text,lg,l_id,folio,col,speaker
1,Par la grace de dieu Noſtre ſouuerain ꝑere,1,l-135r-2-5,135r,2,
2,Vel ꝑler .i. petit De /ſa tres douce mere,1,l-135r-2-6,135r,2,
3,D'une de ſes vertus Voꝰ dirai la matere,1,l-135r-2-7,135r,2,
4,Dont la matere fu Hoꝛriblement amere,1,l-135r-2-8,135r,2,
5,Bon fait ſeruir tel dame Con /la virge marie,2,l-135r-2-9,135r,2,
6,C'eſt /cele qⁱ poꝛta /Le tres doulz fruit de vie,2,l-135r-2-10,135r,2,
7,Ou cel en t՚re en mer Doit biē eſtre ſeruie,2,l-135r-2-11,135r,2,
8,Cuers qui a lui ſe pꝛent Richem̄t ſe marie.,2,l-135r-2-12,135r,2,
9,UN de ſes miracles vous voudꝛai racōter,3,l-135v-1-1,135v,1,
10,Q՚ toutes bones gens Doiuent biē eſcouter,3,l-135v-1-2,135v,1,
11,Cil qui biē loiaument La veult de cuer amer,3,l-135v-1-3,135v,1,
12,Doit volent՚s tous ioꝛs De li oir ꝑler,3,l-135v-1-4,135v,1,
13,De .ii. freres germaīs vous veil ramēteuoir,4,l-135v-1-5,135v,1,
14,Li vns ot vne fille Riches hons fu d'auoir,4,l-135v-1-6,135v,1,
15,Mais la moꝛt qⁱ le pꝛiſt L'a fait le cuer doloir,4,l-135v-1-7,135v,1,
16,Tātost manda ſon frere Il vint ſans remanoir,4,l-135v-1-8,135v,1,
17,Biau dous freres diſt il Il me conuient moꝛir,5,l-135v-1-9,135v,1,
18,Ie vous leſſe du tout Ma fille maītenir,5,l-135v-1-10,135v,1,
19,Cil diſt ſ'ele ſe veult A mō voloir tenir,5,l-135v-1-11,135v,1,
20,Nient plus qu'amō enfant Ne li vouldꝛai faillir,5,l-135v-1-12,135v,1,
21,Qvant li pꝛeudōs fu moꝛs Sa fille ſ'en ala,6,l-135v-1-13,135v,1,
22,En la maiſon ſon oncle .ij. ans y demoꝛa.,6,l-135v-1-14,135v,1,
23,Poꝛ l'amoꝛ de sō pere Moult d'aumoſnes dōna,6,l-135v-1-15,135v,1,
24,En /la virge marie Treſtout sō cuer mis a,6,l-135v-1-16,135v,1,
25,EN /nr՚e dame amer Miſt treſtout sō coꝛage,7,l-135v-1-17,135v,1,
26,Nuit ⁊ ioꝛ voloit eſtre Deuant sō doꝰ ymage,7,l-135v-1-18,135v,1,
27,En lire ſon pſaltier Miſt treſtout ſon vſage,7,l-135v-1-19,135v,1,
28,Mais li malués li fiſt De ſtourbier ⁊ domage,7,l-135v-1-20,135v,1,
29,Ainſi cō voꝰ oꝛrez Aſſez ˞pchainem̄t,8,l-135v-2-1,135v,2,
30,Oez ꝯ li mauuez La decut laidem̄t,8,l-135v-2-2,135v,2,
31,Tant pourchaca dëables Ꝑ ſon enchantement,8,l-135v-2-3,135v,2,
32,Qu'ele fu ſe don oncle Enceīte vraiem̄t,8,l-135v-2-4,135v,2,
33,Nvlui de ſa groſſeſſe Garde ne ſe dona,9,l-135v-2-5,135v,2,
34,Poꝛ ce q՚le ot gñt robes Dont elle ſe para,9,l-135v-2-6,135v,2,
35,Qñt ſe dut deliurer En .i. ſolier ala,9,l-135v-2-7,135v,2,
36,Ꝑ l'engīg l'ēnemi Sō enfant eſtrāgla,9,l-135v-2-8,135v,2,
37,Adonq՚s le geta Dedens vne pͥuee,10,l-135v-2-9,135v,2,
38,Liez fu li ēnemis Qñt ainſi l'a tēptee,10,l-135v-2-10,135v,2,
39,Loꝛs fu la pecherreſſe Foꝛm̄t de ſcō foꝛtee,10,l-135v-2-11,135v,2,
40,/La douce m՚e dieu A de cuer re clamee,10,l-135v-2-12,135v,2,
41,Leuant sō doꝰ ymage Se va a genoillier,11,l-135v-2-13,135v,2,
42,A lui ſe plaint foꝛm̄t Du felon aduerſier,11,l-135v-2-14,135v,2,
43,Q՚ en deus les pechiez Li face trebuchier,11,l-135v-2-15,135v,2,
44,Et le maint a bō poꝛt /Son fil q՚tant a chier,11,l-135v-2-16,135v,2,
45,De felon ſathenas Ne ſe tīt mus a tant,12,l-135v-2-17,135v,2,
46,Aſſez ˞pchainem̄t Refu groſſe d'enfāt,12,l-135v-2-18,135v,2,
47,De ſon oncle mes nulz Ne ſ'ē va ꝑceuāt.,12,l-135v-2-19,135v,2,
48,Qñt elle fu deliure Si l'eſtrangla errant,12,l-136r-1-1,136r,1,
49,Trois en ot de ſon oncle Et toꝰ les eſtrāgla,13,l-136r-1-2,136r,1,
50,Ne ſon oncle ne autre Garde ne ſ'en dōna,13,l-136r-1-3,136r,1,
51,Dedēs vne pꝛiuee Les .iij. enfans geta,13,l-136r-1-4,136r,1,
52,Ain ſi li ēnemis Ꝑ .iij. foys la tēpta,13,l-136r-1-5,136r,1,
53,Encoꝛ li fiſt il pis Si cō m'oꝛrez ꝯter,14,l-136r-1-6,136r,1,
54,En .i. ſolier la fiſt Toute ſeule enfermer,14,l-136r-1-7,136r,1,
55,D'une tēptation Li va ſon coꝛps tēpter,14,l-136r-1-8,136r,1,
56,Poꝛ les .iii. enfacons Qⁱl li fiſt eſtrāgler,14,l-136r-1-9,136r,1,
57,Laſſe dit la chetiue Cōm̄t me cheuirai,15,l-136r-1-10,136r,1,
58,S'ē treuue mes enfās En feu arſe ſerai,15,l-136r-1-11,136r,1,
59,Li ēnemis li diſt Pens toi ie t'aiderai,15,l-136r-1-12,136r,1,
