line_no,text,lg,l_id,folio,col,speaker
1,Quant amoꝛs ot bien entendu,1,l-198Gv-1-1,198Gv,1,
2,Que me fui a bele rendu,1,l-198Gv-1-2,198Gv,1,
3,Pou qui ſus moy ot coꝛne priſe,1,l-198Gv-1-3,198Gv,1,
4,Si me retint en ſon ſervice,1,l-198Gv-1-4,198Gv,1,
5,Et me pꝛia moult doucement,1,l-198Gv-1-5,198Gv,1,
6,Que le ſervice bonement,1,l-198Gv-1-6,198Gv,1,
7,Et que moult de biens me feroit,1,l-198Gv-1-7,198Gv,1,
8,Et tant con le bois duerroit,1,l-198Gv-1-8,198Gv,1,
9,Je m'y pooie eſbanoier,1,l-198Gv-1-9,198Gv,1,
10,Partout ſans nul lieu foꝛnoier,1,l-198Gv-1-10,198Gv,1,
11,Quant biauté m'avoit arreſte,1,l-198Gv-1-11,198Gv,1,
12,Et diſt qu'il eſtoit apꝛeſté,1,l-198Gv-1-12,198Gv,1,
13,De poꝛter moy honoꝛ et joie,1,l-198Gv-1-13,198Gv,1,
14,Tant que en ſon bois remaindꝛoit,1,l-198Gv-1-14,198Gv,1,
15,Mais bien me diſt ſe j'en iſſoie,1,l-198Gv-1-15,198Gv,1,
16,Jamais el bois ne retoꝛroie,1,l-198Gv-1-16,198Gv,1,
17,Car il ſavoit bien ſans mentir,1,l-198Gv-1-17,198Gv,1,
18,Nature nel puet conſentir,1,l-198Gv-1-18,198Gv,1,
19,Ainſi ſervi amoꝛs et dame,1,l-198Gv-1-19,198Gv,1,
20,De cuer de volenté et d'ame,1,l-198Gv-1-20,198Gv,1,
21,Sans temps coꝛs avoir et chaſtel,1,l-198Gv-1-21,198Gv,1,
22,Mis en ſervir qu'il n'i a tel,1,l-198Gv-2-1,198Gv,2,
23,Com ſervir quant en gré eſt pꝛis,1,l-198Gv-2-2,198Gv,2,
24,Mais de biauté fu ſi eſpꝛis,1,l-198Gv-2-3,198Gv,2,
25,Que ne ſoi ſe je meſpꝛenoie,1,l-198Gv-2-4,198Gv,2,
26,De l'eſtat ou me maintenoie,1,l-198Gv-2-5,198Gv,2,
27,Qui encoꝛe eſtoie el bois iane,1,l-198Gv-2-6,198Gv,2,
28,Ou nul de ce monde n'aſſane,1,l-198Gv-2-7,198Gv,2,
29,Qu'il ne conuiengne foꝛnoier,1,l-198Gv-2-8,198Gv,2,
30,Aucune fois et foloier,1,l-198Gv-2-9,198Gv,2,
31,Par nule bois tant comme il dure,1,l-198Gv-2-10,198Gv,2,
32,Et tant com le ſueffre nature,1,l-198Gv-2-11,198Gv,2,
33,Et le veult el bois maintenir,1,l-198Gv-2-12,198Gv,2,
34,Nennil ne ſ'en vouldꝛoit venir,1,l-198Gv-2-13,198Gv,2,
35,Hoꝛs de ſon gré ſ'a foꝛce non,1,l-198Gv-2-14,198Gv,2,
36,De viellece doutent le non,1,l-198Gv-2-15,198Gv,2,
37,Nul ne ſ'i embat volentiers,1,l-198Gv-2-16,198Gv,2,
38,Qui de jonece les ſentiers,1,l-198Gv-2-17,198Gv,2,
39,Puiſſe tenir en nule guiſe,1,l-198Gv-2-18,198Gv,2,
40,Chaſcuns redoute ſon ſervice,1,l-198Gv-2-19,198Gv,2,
41,Et ſ'i embat chaſcuns a painne,1,l-198Gv-2-20,198Gv,2,
42,Tant que nature les y maine,1,l-198Gv-2-21,198Gv,2,
43,Et qu'il leur convient conſentir,1,l-198Gv-2-22,198Gv,2,
44,Et l'en du ſi que je ne mente,1,l-198Gv-2-23,198Gv,2,
45,Qui en jeu entre jeu conſente,1,l-198Gv-2-24,198Gv,2,
46,Adont que je me fu rendu,2,l-198Gv-2-25,198Gv,2,
47,Moult bonement ay entendu,2,l-198Gv-2-26,198Gv,2,
48,Au ſervice faire ou j'eſtoie,2,l-198Gv-2-27,198Gv,2,
49,Car biauté foꝛment me meſtroie,2,l-198Gv-2-28,198Gv,2,
50,Et les .ii. chiens renon et los,2,l-198Gv-2-29,198Gv,2,
51,Me tiennent ſe bien dire l'os,2,l-198Gv-2-30,198Gv,2,
52,Que riens ne me puet eſioir,2,l-198Gv-2-31,198Gv,2,
53,Tant com la vois de chie[n]ſoir,2,l-198Gv-2-32,198Gv,2,
54,Car ſi toſt com je l'a perdue,2,l-198Gv-2-33,198Gv,2,
55,Et n'ai de biauté la veue,2,l-198Gv-2-34,198Gv,2,
56,Le coꝛps tramble couleur me mue,2,l-198Gv-2-35,198Gv,2,
57,Le cuer me faut et ſi treſſue,2,l-198Gv-2-36,198Gv,2,
58,D'angoiſſe ſi tres fermement,2,l-198Gv-2-37,198Gv,2,
