line_no,text,lg,l_id,folio,col,speaker
1,/LI ſages ſalemōs Nous mouſtre,1,l-394v-1-8,394v,1,
2,Ꝑ bon exemple et par urai mouſtre,1,l-394v-1-9,394v,1,
3,C'om doit touz ioꝛs sō sāz mouſtreꝛ,1,l-394v-1-10,394v,1,
4,Ꝑ biax eſſēples de mouſtreꝛ,1,l-394v-1-11,394v,1,
5,Car li sās qui n'eſt demouſtres,1,l-394v-1-12,394v,1,
6,Ꝑ biax diz ⁊ ꝑ fais mouſtres,1,l-394v-1-13,394v,1,
7,Il n'es anului ˞pphitans,1,l-394v-1-14,394v,1,
8,Ne ne vaut riēs plꝰ que litans,1,l-394v-1-15,394v,1,
9,Qⁱ eſt peꝛdus ſans recouureꝛ,1,l-394v-1-16,394v,1,
10,Dōt doit touz iours ſages ouureꝛ,1,l-394v-1-17,394v,1,
11,En fais ē maītien ⁊ en oeuure,1,l-394v-1-18,394v,1,
12,Ꝑ quoi le bn̄ mouſtre ⁊ deſcueure,1,l-394v-1-19,394v,1,
13,C'on doit noncieꝛ ⁊ deſcouurir,1,l-394v-1-20,394v,1,
14,C'eſt pechiez de ſon ſanc couurir,1,l-394v-1-21,394v,1,
15,P˞ ce vous ieꝛt ci aouueꝛs,1,l-394v-2-1,394v,2,
16,Mes petis ſans ⁊ aouueꝛs,1,l-394v-2-2,394v,2,
17,Ꝑ .j. bel eſſemple aſſez court,1,l-394v-2-3,394v,2,
18,C'on puet bn̄ dire ē haute court,1,l-394v-2-4,394v,2,
19,C'eſt de la nois que ie compeꝛe,1,l-394v-2-5,394v,2,
20,Au iōne hōme filz de bō peꝛe,1,l-394v-2-6,394v,2,
21,Q՚ bn̄ ſe veut d'onneur pareꝛ,1,l-394v-2-7,394v,2,
22,A la noiz ſe doit cōpareꝛ,1,l-394v-2-8,394v,2,
23,S'eꝛt adꝛoit ſa vie paree,1,l-394v-2-9,394v,2,
24,S'alanois groſſe eſt cōparee,1,l-394v-2-10,394v,2,
25,Car biaus eſt li comparemens,1,l-394v-2-11,394v,2,
26,Qñt d'aneur vient li paremens,1,l-394v-2-12,394v,2,
27,Dont pꝛinces puiſſās eſt pares,1,l-394v-2-13,394v,2,
28,Bn̄ eſt a ſon dꝛoit cōpares,1,l-394v-2-14,394v,2,
29,Qⁱ ala nois ſe compara,1,l-394v-2-15,394v,2,
30,De tres haute hōneur ſepara,1,l-394v-2-16,394v,2,
31,Li pꝛemies en eſt apparans,1,l-394v-2-17,394v,2,
32,Eſgardes par mois ⁊ ꝑ ans,1,l-394v-2-18,394v,2,
33,A chaſcune ſaiſon nouuelle,1,l-394v-2-19,394v,2,
34,Q՚ li noieꝛs ſe re nouuelle,1,l-394v-2-20,394v,2,
35,Qⁱl eſt veꝛs ⁊ renouuelles,1,l-394v-2-21,394v,2,
36,Conueꝛs de fueille ⁊ eſtelles,1,l-394v-2-22,394v,2,
37,De flour dont lanois naiſt ⁊ poīt,1,l-394v-2-23,394v,2,
38,Tant q՚lle eſt groſſe ⁊ ē ce point,1,l-394v-2-24,394v,2,
39,Toute veꝛte l'eſtuet cueillir,1,l-394v-2-25,394v,2,
40,P˞ confiture recueillir,1,l-394v-2-26,394v,2,
41,Ainſi ſ'en conuiēt ētre metre,1,l-394v-2-27,394v,2,
42,Qⁱ lanois veut ē confit metre,1,l-394v-2-28,394v,2,
43,Cueillir l'eſtuet ionete ⁊ tendꝛe,1,l-394v-2-29,394v,2,
44,Et par ce point poōs entendꝛe,1,l-394v-2-30,394v,2,
45,Ce puet on eſpꝛouueꝛ ſouuēt,1,l-394v-2-31,394v,2,
46,C'on doit en ſon iōne jouuāt,1,l-394v-2-32,394v,2,
47,L'enfant jone apñdꝛe ⁊ eſtruire,1,l-394v-2-33,394v,2,
48,Q՚ ou chemin le veut conduire,1,l-394v-2-34,394v,2,
49,De valeur d'armes ⁊ d'amours,1,l-394v-2-35,394v,2,
50,Comfir le doit en bōnes mours,1,l-394v-2-36,394v,2,
51,⁊ apꝛendꝛe d'ōneur l'uſſage,1,l-394v-2-37,394v,2,
52,En tant qu'il eſt de ione aage,1,l-394v-2-38,394v,2,
53,On le doit par bn̄ doctrineꝛ,1,l-395r-1-1,395r,1,
54,Faire obeir ⁊ alineꝛ,1,l-395r-1-2,395r,1,
55,A l'eſtat qu'il doit maītenir,1,l-395r-1-3,395r,1,
