line_no,text,lg,l_id,folio,col,speaker
1,L'autrieꝛ vn iour ioueꝛ m'aloie,1,l-35v-2-1,35v,2,
2,deueꝛs l'auceꝛrois ſaint geꝛmain,1,l-35v-2-2,35v,2,
3,Plus matin que ie neſouloie,1,l-35v-2-3,35v,2,
4,Qⁱ ne lief pas voulentieꝛs main,1,l-35v-2-4,35v,2,
5,Si vi charlot ē mi mavoie,1,l-35v-2-5,35v,2,
6,Qⁱ le barbieꝛ tient ꝑ lamain,1,l-35v-2-6,35v,2,
7,⁊ bn̄ mouſtroiēt touteuoie,1,l-35v-2-7,35v,2,
8,Qⁱl neꝛeꝛt pas couſin geꝛmain,1,l-35v-2-8,35v,2,
9,Il ſe diſſoient vilanie,2,l-35v-2-9,35v,2,
10,⁊ ſigetoiēt gas deuoir,2,l-35v-2-10,35v,2,
11,Charlot tu uas ē cōpaignie,2,l-35v-2-11,35v,2,
12,Pour creſtienté deceuoir,2,l-35v-2-12,35v,2,
13,Ceſt traiſon ⁊ felōnie,2,l-35v-2-13,35v,2,
14,Ce puet chaſcū aꝑceuoir,2,l-35v-2-14,35v,2,
15,La toue loy ſoit la honnie,2,l-35v-2-15,35v,2,
16,Tu nen aſpoint adire uoir,2,l-35v-2-16,35v,2,
17,Barbieꝛ foi q՚ doi la banliue,3,l-35v-2-17,35v,2,
18,On uous auez vr՚e repaire,3,l-35v-2-18,35v,2,
19,Vous auez vne goute viue,3,l-35v-2-19,35v,2,
20,Iamés nieꝛt ioꝛ qu'il ne vꝰ peꝛe,3,l-35v-2-20,35v,2,
21,Sans ladꝛe arompu la triue,3,l-35v-2-21,35v,2,
22,Si vꝰ afeꝛu el viaire,3,l-35v-2-22,35v,2,
23,Pource q՚ cilz maus vꝰ eſchine,3,l-36r-1-1,36r,1,
24,Ne req՚res mais ſaintuaire,3,l-36r-1-2,36r,1,
25,Charles foi q՚ doi .s՚e. iame,4,l-36r-1-3,36r,1,
26,Vꝰ auez ouan fame pꝛiſe,4,l-36r-1-4,36r,1,
27,Eſt ceſelonc laloy eſclame,4,l-36r-1-5,36r,1,
28,Q՚ cayfas vꝰ a apꝛiſſe,4,l-36r-1-6,36r,1,
29,Vꝰ crees autant n՚re dame,4,l-36r-1-7,36r,1,
