line_no,text,lg,l_id,folio,col,speaker
1,/LI dous roys ih՚ucris Qui ꝑ annūcion,1,l-107v-1-1,107v,1,
2,Priſt en /la ſaīte virge Sainte incarnation.,1,l-107v-1-2,107v,1,
3,Doīt ce ꝰ qͥ m'ētēdꝛont Saīte ſaluation.,1,l-107v-1-3,107v,1,
4,En la crois ſouffri moꝛt Poꝛ no redēption.,1,l-107v-1-4,107v,1,
5,A toꝰ en general veil dire ⁊ racōter,2,l-107v-1-5,107v,1,
6,.I. ml՚t tres bel exāple Voꝰ vouldꝛai recoꝛder,2,l-107v-1-6,107v,1,
7,D'ū bouriois qͥ sō cuer Miſt tout ē dieu amer,2,l-107v-1-7,107v,1,
8,I. ml՚ biau fil auoit En poīt de marier,2,l-107v-1-8,107v,1,
9,Li bourgois maria ſon enfant en ſa vie.,3,l-107v-1-9,107v,1,
10,De ſon auoir qͥl ot Li dōna gñt ꝑtie,3,l-107v-1-10,107v,1,
11,La moꝛt pꝛiſt li boꝛiois Qⁱ ne l'esꝑgna mie,3,l-107v-1-11,107v,1,
12,.I. ſien fil a ppella Ou durem̄t ſe fie,3,l-107v-1-12,107v,1,
13,Biaus filz diſt li boꝛgois il me conuient moꝛir,4,l-107v-1-13,107v,1,
14,Vas ſi fai mō curé ꝑ deuant moy venir,4,l-107v-2-1,107v,2,
15,Peres diſt li vallés ie ferai vo plaiſir,4,l-107v-2-2,107v,2,
16,Mais i'ai gñt duel au cuer Qñt ie voꝰ voi moꝛir,4,l-107v-2-3,107v,2,
17,Le vallet ala querre Le p՚ſtre iſnelem̄t,5,l-107v-2-4,107v,2,
18,Le boꝛiois deuāt li A fait ſon teſtam̄t,5,l-107v-2-5,107v,2,
19,Loꝛs appella ſon filz Ml՚t debōnairement,5,l-107v-2-6,107v,2,
20,Si le laiſe ⁊ a cole Et eſtraīt doucem̄t,5,l-107v-2-7,107v,2,
21,Mon enfant tu vois bien Q՚ tu n'as ſuer ne frere,6,l-107v-2-8,107v,2,
22,Poꝛ dieu fai des aumoſnes Poꝛ l'ame de ta mere,6,l-107v-2-9,107v,2,
23,Et ſi pꝛie poꝛ moy Biaꝰ filz qⁱ ſui tō pere,6,l-107v-2-10,107v,2,
24,Car la moꝛt m'a ſaiſi Qⁱ eſt peſme ⁊ amere,6,l-107v-2-11,107v,2,
25,Biaus filz toy ⁊ ta fame Veil dire ⁊ enchargier,7,l-107v-2-12,107v,2,
26,Tant cōme voꝰ viurez Q՚ volliez herbergier,7,l-107v-2-13,107v,2,
27,.ij. poures chaſcū iour Et dōner amēgier,7,l-107v-2-14,107v,2,
28,Ꝑ ce poīt voꝰ poꝛrez( i) Enu՚s dieu alegier,7,l-107v-2-15,107v,2,
29,Pere dit le vallet En couuent le voꝰ ay,8,l-107v-2-16,107v,2,
30,A toꝰ les ioꝛs du mōde Tant cōme ie viurai,8,l-107v-2-17,107v,2,
31,Poꝛ vr՚e amoꝛ .ii. Poures herbergerai,8,l-107v-2-18,107v,2,
32,A boire ⁊ a mēgier Largem̄t loꝛ donrai,8,l-107v-2-19,107v,2,
33,Que diex face am'ame Et a voꝰ vrai ꝯfoꝛt.,9,l-107v-2-20,107v,2,
34,Loꝛs treſpaſſa li peres S'ala de vie a moꝛt,9,l-108r-1-1,108r,1,
35,Car il noꝰ conuient tous Arriu՚ a tel poꝛt.,9,l-108r-1-2,108r,1,
36,Adont ploꝛa sō filz Et ſes .ij. poīs de toꝛt,9,l-108r-1-3,108r,1,
37,OR fule boꝛiois moꝛt Et a ſa fin alez,10,l-108r-1-4,108r,1,
38,A moult tres gñt honoꝛ Fu ſon coꝛps enterrez,10,l-108r-1-5,108r,1,
39,Sō fil tint sō auoir Si fiſt des biens aſſez,10,l-108r-1-6,108r,1,
40,Diex fu de tout sō cuer Seruis ⁊ honoꝛez,10,l-108r-1-7,108r,1,
41,Entre lui et ſa fame Menerēt ſainte vie,11,l-108r-1-8,108r,1,
42,La dame fu d'ēfant De nouuel a couchie,11,l-108r-1-9,108r,1,
43,Dieu en ont mercié Et /la virge marie,11,l-108r-1-10,108r,1,
44,En ſa geſine fu Ml՚trichem̄t ſeruie,11,l-108r-1-11,108r,1,
45,Hvit ioꝛs deuāt noel Si cō trouuōs liſant,12,l-108r-1-12,108r,1,
46,Fula dame acouchie D'ū ml՚t tres bel enfant,12,l-108r-1-13,108r,1,
47,Oꝛ oꝛrez ia cōm̄t L'ēnemi ſouduiant,12,l-108r-1-14,108r,1,
