line_no,text,lg,l_id,folio,col,speaker
1,TOuz ceus ⁊ toutes celles Qⁱ croiront fermem̄t,1,l-312v-2-6,312v,2,
2,Dou .S՚. Coꝛs /Jh՚ucⁱſt Les dignes ſacͤmant,1,l-312v-2-7,312v,2,
3,Aqui diex apꝛeſté Sens ⁊ entendement,1,l-312v-2-8,312v,2,
4,Ne doiuent pas ouurer Contre dieu folement,1,l-312v-2-9,312v,2,
5,CHaſcun le doit ſeruir De bon cuer ſan faintiſe,2,l-312v-2-10,312v,2,
6,Mes il ſont ml՚t de gent Plains de gñz couoitiſe,2,l-312v-2-11,312v,2,
7,Ce fait li anemi Qⁱ les tient ⁊ juſtiſe,2,l-312v-2-12,312v,2,
8,Qⁱ touz ioꝛz de mal faire Les ſemont ⁊ atiſe,2,l-312v-2-13,312v,2,
9,DEsque dieu fiſt /adan ⁊ /eue ſa moillier,3,l-312v-2-14,312v,2,
10,Les voſt li anemis Confondꝛe ⁊ engignier,3,l-312v-2-15,312v,2,
11,Qñt ifiſt par /eua /Adan le fruit meng՚,3,l-313r-1-1,313r,1,
12,Iij.Cenz. Anz Les couint trauaill՚,3,l-313r-1-2,313r,1,
13,MEs le roy qui tout fiſt ⁊ ciel ⁊ terre ⁊ mer,4,l-313r-1-3,313r,1,
14,Sine les voſt pas ꝑdꝛe Ainz les voſt tant am՚,4,l-313r-1-4,313r,1,
15,Qⁱl en ſoffrit ſon coꝛs D'un glaiue aentam՚,4,l-313r-1-5,313r,1,
16,⁊ ſon pꝛecieux ſanc Contre terre aſenner,4,l-313r-1-6,313r,1,
17,LA moꝛt q՚ il ſoffri Cel iour noꝰ racheta,5,l-313r-1-7,313r,1,
18,⁊ a l'a ſanſion Aus ſaīz ciez remonta,5,l-313r-1-8,313r,1,
19,Le iour de penthecoſte Ses amis ꝯfoꝛta,5,l-313r-1-9,313r,1,
20,Des loꝛs en pain ſacré Son coꝛs repꝛeſenta,5,l-313r-1-10,313r,1,
21,CIl croit mauueſem̄t Qⁱ n'a ferme creance,6,l-313r-1-11,313r,1,
22,Q՚ c'eſt le .S՚. coꝛs dieu Qⁱ nos fiſt deliurance,6,l-313r-1-12,313r,1,
23,Ce que le pꝛeſtre ētient ⁊ en fait remen bꝛance,6,l-313r-1-13,313r,1,
24,Autant ꝯme /longis Enferit de la lance,6,l-313r-1-14,313r,1,
25,DE tel oiſtͤ ſacree Endieu pͥſt ſa figure,7,l-313r-1-15,313r,1,
26,Voꝰ veil ie raconter Merueilleuſe auenture,7,l-313r-1-16,313r,1,
27,Ce fu ml՚t bel eſſemple Mes l'eure fu oſcure,7,l-313r-1-17,313r,1,
28,Dont voꝰ oꝛroiz la fin ⁊ la verité pure,7,l-313r-1-18,313r,1,
29,DEſouz /laō auīt Iceſte gñt m՚ueille,8,l-313r-1-19,313r,1,
30,Ie croi q՚n tot lemont N'ot onques ſaꝑeille,8,l-313r-2-1,313r,2,
31,Ce fiſt li anemis Q՚ touz ioꝛz ſetrauaille,8,l-313r-2-2,313r,2,
32,Par coi puiſſe le mōde Verſer en ſa coꝛ beille,8,l-313r-2-3,313r,2,
33,VNe gñt riche fame En cel pais eſtoit,9,l-313r-2-4,313r,2,
34,A la veüe du monde Beguine ſe faiſoit,9,l-313r-2-5,313r,2,
