line_no,text,lg,l_id,folio,col,speaker
1,QVi ce liure vouldꝛa ētēdꝛe,1,l-171v-1-1,171v,1,
2,Ml՚t de biē y poꝛra apꝛēdꝛe,1,l-171v-1-2,171v,1,
3,Q՚ amaſſer plēté d'auoir,1,l-171v-1-3,171v,1,
4,Et qui tendꝛa ces ꝑaboles,1,l-171v-1-4,171v,1,
5,Ces exāples ⁊ ces friuoles,1,l-171v-1-5,171v,1,
6,A moquerie ne a truffe,1,l-171v-1-6,171v,1,
7,Biē ait qⁱ li dōra buffe,1,l-171v-1-7,171v,1,
8,Un leu qui fu de male ꝑt,2,l-171v-1-8,171v,1,
9,Glout ⁊ enfrū ⁊ de mal art,2,l-171v-1-9,171v,1,
10,S'ē oſſa ꝑ meſauēture,2,l-171v-1-10,171v,1,
11,De l'os d'une chieure ml՚t dure,2,l-171v-1-11,171v,1,
12,Qñt en oſſe fu ſi reqⁱſt,2,l-171v-1-12,171v,1,
13,Les beſtes ſauuages ⁊ diſt.,2,l-171v-1-13,171v,1,
14,Q՚ qⁱ l'os oſter li poꝛra,2,l-171v-1-14,171v,1,
15,Qñt g՚redō li en fera,2,l-171v-1-15,171v,1,
16,Les beſtes ꝑlerent ensāble,2,l-171v-1-16,171v,1,
17,Ꝑ foy diſt renart il me sāble,2,l-171v-1-17,171v,1,
18,Q՚ la grue biē le guerroit,2,l-171v-1-18,171v,1,
19,Se ētremetre ſ'en voloit,2,l-171v-1-19,171v,1,
20,Le leu le cōmēce a pꝛier,2,l-171v-1-20,171v,1,
21,Q՚le ſe haſt de li aidier,2,l-171v-1-21,171v,1,
22,Et quā q՚le demandera,2,l-171v-1-22,171v,1,
23,Ꝑ ſa foy il li paiera,2,l-171v-1-23,171v,1,
24,La grue ſi crut ſa ꝑole,3,l-171v-1-24,171v,1,
25,Sa teſte ⁊ sō col cōme fole,3,l-171v-1-25,171v,1,
26,En la gueule au leu a lāciee,3,l-171v-1-26,171v,1,
27,Hoꝛs en treſt l'os ſi ſ'eſt dꝛeciee,3,l-171v-2-1,171v,2,
28,Et dit au leu q՚ il li doit,3,l-171v-2-2,171v,2,
29,Gñt loier ⁊ q՚ il le poit,3,l-171v-2-3,171v,2,
30,Diſt le leu ml՚t t'ē dois pꝛoiſier,3,l-171v-2-4,171v,2,
31,Qñt de la gueule a l'aduerſier,3,l-171v-2-5,171v,2,
32,Es iſſue ſans mal auoir,3,l-171v-2-6,171v,2,
33,Autre loier n'ē pues auoir,3,l-171v-2-7,171v,2,
34,Qvi atel ſert il doit a pꝛendꝛe,4,l-171v-2-8,171v,2,
35,Q՚ g՚redon n'ē doit atendꝛe,4,l-171v-2-9,171v,2,
36,Mais douter ſe doit de domage,4,l-171v-2-10,171v,2,
37,Et garder ſ'en ſe il eſt ſage,4,l-171v-2-11,171v,2,
38,Bataille fu d'oiſiaꝰ volans,5,l-171v-2-12,171v,2,
39,Encōtre les beſtes courans,5,l-171v-2-13,171v,2,
40,Grant et moꝛtelet perilleuſe,5,l-171v-2-14,171v,2,
41,Et de chaſcune ꝑt douteuſe,5,l-171v-2-15,171v,2,
42,La leur fu plaine de boiſdie,5,l-171v-2-16,171v,2,
43,De barat ⁊ de tri cherie,5,l-171v-2-17,171v,2,
44,Le chat hua a ſon lait coꝛs,5,l-171v-2-18,171v,2,
45,Qⁱ puis en fu a honte hoꝛs,5,l-171v-2-19,171v,2,
46,Il ſ'a pēſa q՚ il faīdꝛoit,5,l-171v-2-20,171v,2,
47,A chaſcun quides ſiens ſeroit,5,l-171v-2-21,171v,2,
48,Et qñt enſamble chaplerōt,5,l-171v-2-22,171v,2,
49,De ceulz ſe tendꝛa q՚ vaincrōt,5,l-171v-2-23,171v,2,
50,Aus oꝛeilles ⁊ alateſte,5,l-171v-2-24,171v,2,
51,Sābloit miex .i. chat qu'aut՚ beſte,5,l-171v-2-25,171v,2,
52,Aus eles a oiſel ſambloit,5,l-171v-2-26,171v,2,
53,Raiſon eſt car oiſel eſtoit,5,l-171v-2-27,171v,2,
54,Sa fauſſeté ſi fu ſceue,5,l-171v-2-28,171v,2,
55,Et des .ii. ꝑs aꝑceue,5,l-171v-2-29,171v,2,
56,Chaſcūs le het ⁊ le deſfie,5,l-171v-2-30,171v,2,
57,Nulz ne fu au las en ſaye.,5,l-171v-2-31,171v,2,
58,Le loſeng՚ ſi com me sāble,6,l-171v-2-32,171v,2,
59,Qñt il voit ſes voisīs ensāble,6,l-171v-2-33,171v,2,
60,Troublez faīt ꝑ loſengie,6,l-171v-2-34,171v,2,
61,A chaſcun q՚es de ſa ꝑtie,6,l-171v-2-35,171v,2,
62,En l'oꝛeille va l'un blamāt,6,l-171v-2-36,171v,2,
63,A l'autre en refait autretāt,6,l-171v-2-37,171v,2,
64,La haine fait cōferm՚.,6,l-171v-2-38,171v,2,
65,Q՚ il fait ſambler d'afiner,6,l-172r-1-1,172r,1,
66,Qñt ſa fauſſeté eſt ſceue,6,l-172r-1-2,172r,1,
67,Et des .ij. ꝑs aꝑceue,6,l-172r-1-3,172r,1,
68,Chaſcūs le het n'ē doutez mie,6,l-172r-1-4,172r,1,
69,Et refuſe ſa cōpaignie,6,l-172r-1-5,172r,1,
70,Come l'a leur eſt demenez,6,l-172r-1-6,172r,1,
71,Qⁱ d'eſtrages eſt de pꝛiuez,6,l-172r-1-7,172r,1,
72,Fu hais ꝑ ſa trich՚ie,6,l-172r-1-8,172r,1,
73,Mal ait cil qui vit de tel vie,6,l-172r-1-9,172r,1,
74,La mouche a eſté de bataille,7,l-172r-1-10,172r,1,
75,.I. toꝛel fier ⁊ oꝛgueilleꝰ,7,l-172r-1-11,172r,1,
76,Et dit qu'il nel doute maaille,7,l-172r-1-12,172r,1,
77,Et le deffi a a l'eſtreus,7,l-172r-1-13,172r,1,
78,Qñt le toꝛel a deceu,8,l-172r-1-14,172r,1,
79,Q՚ la moulche l'a en vilté,8,l-172r-1-15,172r,1,
80,Dire ⁊ d'oꝛgueil ſ'eſt eſmeü,8,l-172r-1-16,172r,1,
81,Et hulle et fait gñt tēpeſte,8,l-172r-1-17,172r,1,
82,La mouche dit ne te t˜uaille,9,l-172r-1-18,172r,1,
83,Trop auras demain a ſoffrir,9,l-172r-1-19,172r,1,
84,Moie eſt l'ōnoꝛ de la bataille,9,l-172r-1-20,172r,1,
85,Qñt ce vendꝛa au deꝑtir,9,l-172r-1-21,172r,1,
86,Dit le toꝛ ſe ie te teniſſe,10,l-172r-1-22,172r,1,
87,Ie te teniſſe a eſcient,10,l-172r-1-23,172r,1,
88,Q՚ tel cop du pié te feriſſe,10,l-172r-1-24,172r,1,
89,Et moꝛir a tres gñt toꝛm̄t,10,l-172r-1-25,172r,1,
90,Diſt la mouche ſire toꝛel,11,l-172r-1-26,172r,1,
91,Soiez ycy demain sās faille,11,l-172r-1-27,172r,1,
92,Sachiez voꝰ y lairez la pel,11,l-172r-1-28,172r,1,
93,Car g'i ſerai ꝯm̄t qⁱl aille,11,l-172r-1-29,172r,1,
94,Ie toꝛel ſi n'oblia mie,12,l-172r-1-30,172r,1,
95,Ice q՚ la mouche li diſt,12,l-172r-1-31,172r,1,
96,Ou chāp vīt plaī de felonie,12,l-172r-1-32,172r,1,
97,Vllant et gñt tēpeſte fiſt.,12,l-172r-1-33,172r,1,
98,Et qñt la mouche l'a veü,13,l-172r-1-34,172r,1,
99,Si vola en l'air ꝑ deſſeur,13,l-172r-1-35,172r,1,
100,Et diſt ſire trop es meu,13,l-172r-1-36,172r,1,
101,Pres eſtes de coꝛre moi ſeure,13,l-172r-1-37,172r,1,
102,Uous en ſerez poꝛ fol tenu,14,l-172r-1-38,172r,1,
103,De toꝰ ceulz qui voꝰ ont veü,14,l-172r-2-1,172r,2,
104,Noꝰ ne ſomes pas ꝑ ygal.,14,l-172r-2-2,172r,2,
105,Tu es .i. gñt toꝛel coꝛnu,14,l-172r-2-3,172r,2,
106,Et ie .i. eſcuireul menu,14,l-172r-2-4,172r,2,
107,Tu te dois cōbatre au cheual,14,l-172r-2-5,172r,2,
108,Chaſcūs ſe moq՚ du toꝛel,15,l-172r-2-6,172r,2,
109,Qⁱ virēt men՚ tel reuel,15,l-172r-2-7,172r,2,
110,Ꝯme .i. taon qⁱ riēs ne mōte,15,l-172r-2-8,172r,2,
111,Avtreſſi du foꝛt damoiſel,15,l-172r-2-9,172r,2,
112,Qñt il ſe pꝛent a .i. harel,15,l-172r-2-10,172r,2,
113,Honneur n'ē puet auoir mais hote,15,l-172r-2-11,172r,2,
114,Li riches hons de gñt pooir,16,l-172r-2-12,172r,2,
115,Ne doit pas gñt honoꝛ auoir,16,l-172r-2-13,172r,2,
116,D'eſtriuer a .i. nō puiſſant,16,l-172r-2-14,172r,2,
117,Dōner li doit de ſon auoir,16,l-172r-2-15,172r,2,
118,Ꝑ raiſon et faire aſſauoir,16,l-172r-2-16,172r,2,
119,Qⁱl le lait nō pas aytant,16,l-172r-2-17,172r,2,
120,Uns hons fu qⁱ .i. aſne auoit,17,l-172r-2-18,172r,2,
121,Qⁱ ſa beſoigne li faiſoit,17,l-172r-2-19,172r,2,
122,Et ſi eſtoit batus ſouuēt,17,l-172r-2-20,172r,2,
123,Ne autre loier n'ē auoit,17,l-172r-2-21,172r,2,
124,Foꝛs les chardōs q՚ il mēioie,17,l-172r-2-22,172r,2,
125,Dōt il auoit eſcherſem̄t,17,l-172r-2-23,172r,2,
126,Un ioꝛ ſe giſoit ē l'eſtable,18,l-172r-2-24,172r,2,
127,Et n'ot eſtrain chardō ne paille,18,l-172r-2-25,172r,2,
128,Sō meſtre eſgarda qⁱ mēioit,18,l-172r-2-26,172r,2,
129,Le pain net ⁊ la char qⁱl taille,18,l-172r-2-27,172r,2,
130,Qⁱl tent a sō chien ⁊ li baille,18,l-172r-2-28,172r,2,
131,Qñt en l'eſpaule le feroit,18,l-172r-2-29,172r,2,
132,Il ſ'a pēſa q՚ il n'auoit,18,l-172r-2-30,172r,2,
133,Foꝛs toꝛm̄t de ce qⁱl faiſoit,18,l-172r-2-31,172r,2,
134,Et le chiēnert ſi a aiſe,18,l-172r-2-32,172r,2,
135,Poꝛ la ioie q՚il menoit,18,l-172r-2-33,172r,2,
136,A ſon meſtre ⁊ a ſa meſtreſſe,18,l-172r-2-34,172r,2,
137,Il pēſa q՚ auſſi fera,18,l-172r-2-35,172r,2,
138,Et q՚ sō meſtre ioura,18,l-172r-2-36,172r,2,
139,Sauoir ſe il l'ē ameroit,18,l-172r-2-37,172r,2,
140,Des piez ēcōtre li ſaudꝛa,18,l-172r-2-38,172r,2,
141,Et en l'oie le ferra.,18,l-172v-1-1,172v,1,
142,Auſſi cōme le chien faiſoit,18,l-172v-1-2,172v,1,
143,Il viet q՚l n'ōt de riēs tenu,18,l-172v-1-3,172v,1,
144,A ſon meſtre eſt errāt venu,18,l-172v-1-4,172v,1,
145,Des piez deuant l'a acole,18,l-172v-1-5,172v,1,
146,(A po qu'il ne la afole),18,l-172v-1-6,172v,1,
147,Pꝰ l'a en l'oie feru,18,l-172v-1-7,172v,1,
148,Du pié deſtre qⁱ ferre fu,18,l-172v-1-8,172v,1,
149,A po qu'il ne l'a afole,18,l-172v-1-9,172v,1,
150,Aus dēs l'a ꝑl'eſpaule pꝛis,19,l-172v-1-33,172v,1,
151,Et eſtraīt ⁊ a t՚re mis,19,l-172v-1-34,172v,1,
152,Sus le vētre li eſt mōtez,19,l-172v-1-35,172v,1,
153,Et qñt ce virēt ces amis,19,l-172v-1-36,172v,1,
154,Ses ſergēs ſa fame ⁊ ſes filz,19,l-172v-1-37,172v,1,
155,L'aſne ont batu et tē peſte,19,l-172v-1-38,172v,1,
156,Il cuidēt qu'il ſoit foꝛſene,19,l-172v-1-39,172v,1,
157,L'oïe l'ont ⁊ enchaine,19,l-172v-1-40,172v,1,
158,Si q՚ il ne ſe pot boug՚,19,l-172v-1-41,172v,1,
159,Oꝛ eſt l'aſne mal aſſene,19,l-172v-1-42,172v,1,
160,Car batus eſt ⁊ mal mene,19,l-172v-1-43,172v,1,
161,Et ſi n'a q՚ il puiſt meng՚,19,l-172v-1-44,172v,1,
162,Celi eſt fol a eſcient,20,l-172v-1-45,172v,1,
163,Qⁱ de ce qⁱ ne li apent,20,l-172v-1-46,172v,1,
164,S'entremet ⁊ fait pꝛiſautier,20,l-172v-1-47,172v,1,
165,Cōme l'aſne qui folem̄t,20,l-172v-1-48,172v,1,
166,Ml՚t ꝑchei en gñt toꝛm̄t,20,l-172v-1-49,172v,1,
167,Voult tolir ah chier sō meſt՚,20,l-172v-1-50,172v,1,
168,Li leus ſ'ē entre en vne lande,21,l-172v-1-51,172v,1,
169,Souffreteꝰ foꝛm̄t de viāde,21,l-172v-1-52,172v,1,
170,Si erra tant qⁱl ot veü,21,l-172v-1-53,172v,1,
171,Vne vacherie ml՚t grande,21,l-172v-1-54,172v,1,
172,Oꝛ ail tot ce qⁱl demande,21,l-172v-1-55,172v,1,
173,De coꝛre a eulz fu eſmeü,21,l-172v-1-56,172v,1,
174,Les chiēs qⁱ les bꝛebis gardoiēt,22,l-172v-1-57,172v,1,
175,Si voiēt q՚ les leus venoient,22,l-172v-1-58,172v,1,
176,Mēg՚ ⁊ tuer les bꝛebis,22,l-172v-1-59,172v,1,
177,Du gñt maltalēt qu'il auoiēt,22,l-172v-1-60,172v,1,
178,Les chiens ꝯtre les leꝰ ē ꝑloiēt,22,l-172v-1-61,172v,1,
179,Tāt q՚ les leꝰ ſ'ē ſont foui,22,l-172v-1-62,172v,1,
180,Oꝛr oez q՚ les leus feront,23,l-172v-1-63,172v,1,
181,Ꝑ traiſon ſe vēg՚ont,23,l-172v-1-64,172v,1,
182,Des chiens qu'il ne pueent trouu՚,23,l-172v-2-1,172v,2,
183,Et pꝰ les bꝛebis mēgerōt,23,l-172v-2-2,172v,2,
184,Si que ia vne n'en lairont,23,l-172v-2-3,172v,2,
185,Poꝛ tant qⁱl la puiſſe trouu՚,23,l-172v-2-4,172v,2,
186,Dont ont les leus fait aſſauoir,24,l-172v-2-5,172v,2,
187,Aus bꝛebis ſ'il veulent auoir,24,l-172v-2-6,172v,2,
188,Pais a eulz a toute loꝛ vie,24,l-172v-2-7,172v,2,
189,Les chiēs leur ferōt faire auoir,24,l-172v-2-8,172v,2,
190,Qⁱ faire ē puiſſēt leur deuoir,24,l-172v-2-9,172v,2,
191,Car v՚s eulz ont gñt felōnie,24,l-172v-2-10,172v,2,
192,Les bꝛebis ſ'eſiouent ml՚t,25,l-172v-2-11,172v,2,
193,De la req՚ſte q՚ il ont,25,l-172v-2-12,172v,2,
194,Les chiēs leur ont abādōnez,25,l-172v-2-13,172v,2,
195,Pꝰ les mouſtrēt la ou il ſont,25,l-172v-2-14,172v,2,
196,Ou ſe doꝛmoiēt en .i. mont,25,l-172v-2-15,172v,2,
197,Errāmēt furent deuourez,25,l-172v-2-16,172v,2,
198,Oꝛ pueent pꝛendꝛe les bꝛebis,26,l-172v-2-17,172v,2,
199,Car ia n'ē ſerōt cōtredis,26,l-172v-2-18,172v,2,
200,Moꝛs ſont leurs chiens Et leurs gagnons,26,l-172v-2-19,172v,2,
201,Tous ceulz ſont folz ⁊ mal bailli,26,l-172v-2-20,172v,2,
202,Qⁱ baillēt a leurs ēnemis,26,l-172v-2-21,172v,2,
203,Leurs eſpees ne leur baſtōs,26,l-172v-2-22,172v,2,
204,Uous poez biē ceſt exāplaire,27,l-172v-2-23,172v,2,
205,Oiant ſages ⁊ fox retraire,27,l-172v-2-24,172v,2,
206,Celi eſt folz qⁱ ſa deffenſſe,27,l-172v-2-25,172v,2,
207,Abādone a ſon adu՚ſaire,27,l-172v-2-26,172v,2,
208,Biē en poꝛroit a mal Chief traire,27,l-172v-2-27,172v,2,
209,Qvi meſt՚ en a ſi y pēſe,27,l-172v-2-28,172v,2,
210,Une ſoꝛis paſſer voloit,28,l-172v-2-29,172v,2,
211,.I. flueue mais el ſe doutoit,28,l-172v-2-30,172v,2,
212,Q՚l ne noiaſt ſ'el ſ'i meiſt,28,l-172v-2-31,172v,2,
213,Et q՚ iamais ne ſ'ē iſſiſt,28,l-172v-2-32,172v,2,
214,Vne raine a aꝑceue,28,l-172v-2-33,172v,2,
215,Qⁱ du flueue ſ'en eſt iſſue,28,l-172v-2-34,172v,2,
216,Poꝛ dieu li pꝛia hūblem̄t,28,l-172v-2-35,172v,2,
217,Qⁱl la ꝯſeillaſt loialm̄t,28,l-172v-2-36,172v,2,
218,De paſſer l'yaue a ſauueté,28,l-172v-2-37,172v,2,
219,Si fuſt auec sō ꝑēté,28,l-172v-2-38,172v,2,
220,Qⁱl deſire moult a vëoir,28,l-173r-1-1,173r,1,
221,Ꝯ foꝛm̄t ſont recce d'auoir,28,l-173r-1-2,173r,1,
222,Diſt la ſoꝛis ie t'aiderai,28,l-173r-1-3,173r,1,
223,Volētiers ⁊ en bone foy,28,l-173r-1-4,173r,1,
224,Et qñt de l'autre ꝑt ſeras,28,l-173r-1-5,173r,1,
