line_no,text,lg,l_id,folio,col,speaker
1,DIex qui poꝛ nous ſauuer voult en terre deſcendꝛe,1,l-120v-2-1,120v,2,
2,Et en /la vierge m՚e Voult char humaine pꝛendꝛe,1,l-120v-2-2,120v,2,
3,Et en la ſainte crois Souffrir sō coꝛps eſtendꝛe,1,l-120v-2-3,120v,2,
4,Doinſt ſa gc̃e a tous ceulz Qⁱ me vouldꝛont entendꝛe,1,l-120v-2-4,120v,2,
5,Aucune gent n'ont cure D'oir de dieu ꝑler,2,l-120v-2-5,120v,2,
6,Ne de /ſa douce mere Que tant deuōs amer,2,l-120v-2-6,120v,2,
7,Tex y a qui n'en font Q՚ gaber ⁊ vller,2,l-120v-2-7,120v,2,
8,A tiex gens n'ai ie cure De biaus diz recoꝛder,2,l-120v-2-8,120v,2,
9,Mais enquelconque leu Q՚ ie ſai bone gent,3,l-120v-2-9,120v,2,
10,De biē ꝑler de dieu Ne ſui ie mie lent,3,l-120v-2-10,120v,2,
11,Ilec et biē ꝑler Car poꝛ no ſauuem̄t,3,l-120v-2-11,120v,2,
12,Voult il moꝛt receuoir De doloꝛeus tourment,3,l-120v-2-12,120v,2,
13,Et pour l'amoꝛ de ce Que il nous rachata,4,l-121r-1-1,121r,1,
14,De la pꝛiſon d'enfer Qñt il reſuſcita,4,l-121r-1-2,121r,1,
15,Deuōs noꝰ ml՚t amer /Cele qui le poꝛta,4,l-121r-1-3,121r,1,
16,Car quile ſert ⁊ aīme Bon loier en aura.,4,l-121r-1-4,121r,1,
17,Cil qui de bō cuer l'aīme Ne doit pas sōmeillier,5,l-121r-1-5,121r,1,
18,Ains ſe doit poꝛ ſ'amour Nuit ⁊ ioꝛ traueillier,5,l-121r-1-6,121r,1,
19,Sicō la pꝛeudefame Dont voꝰ m'oꝛrez nūcier,5,l-121r-1-7,121r,1,
20,Q՚ l'ēnemi cuida( d) Decoiure ⁊ engignier,5,l-121r-1-8,121r,1,
21,Le mari cele fame Coꝛdouainer eſtoit,6,l-121r-1-9,121r,1,
22,Aus foires aus marchiez Aler le conuenoit,6,l-121r-1-10,121r,1,
23,Si cōme le pꝛeudome Hoꝛs de la ville eſtoit,6,l-121r-1-11,121r,1,
