line_no,text,lg,l_id,folio,col,speaker
1,VN cheual ay Qui eſt avendꝛe,1,l-316v-2-7,316v,2,
2,Pour auoir argēt A deſpendꝛe,1,l-316v-2-8,316v,2,
3,Ie croi cil qui l'achatera,1,l-316v-2-9,316v,2,
4,Q՚ ml՚t petit igaignera,1,l-316v-2-10,316v,2,
5,C'eſt oꝛe voir il eſt ferās,1,l-316v-2-11,316v,2,
6,⁊ eſt mauueſem̄t errans,1,l-316v-2-12,316v,2,
7,⁊ a .iiii. felons reneus,1,l-316v-2-13,316v,2,
8,⁊ a ſoz lagoꝛge .ii. neus,1,l-316v-2-14,316v,2,
9,⁊ eſt ſoz la queue tigneus,1,l-316v-2-15,316v,2,
10,⁊ eſt pouſis. ⁊ eſt moꝛueus,1,l-316v-2-16,316v,2,
11,⁊ ſi dient la gent entr'eus,1,l-316v-2-17,316v,2,
12,Q՚ il voit ml՚t petit des ieus,1,l-316v-2-18,316v,2,
13,⁊ ſi ſai bn̄ q՚ il n'oit goute,1,l-316v-2-19,316v,2,
14,Ne li ventres ne li tient goute,1,l-316v-2-20,316v,2,
15,Foi q՚ ie doi /ſainte pecine,1,l-316v-2-21,316v,2,
16,Il n'a meſt՚ de medecine,1,l-316v-2-22,316v,2,
17,Car ſe verité eſt en recoꝛs,1,l-317r-1-1,317r,1,
18,Riens ne li demeure ēs elcoꝛs,1,l-317r-1-2,317r,1,
19,⁊ ſi moꝛt ⁊ regibe ⁊ grate,1,l-317r-1-3,317r,1,
20,⁊ ſi fiert derrier de la pate,1,l-317r-1-4,317r,1,
21,⁊ ſi meniut mauueſement,1,l-317r-1-5,317r,1,
22,Mes il en giſt plus netemēt,1,l-317r-1-6,317r,1,
23,Maigres eſt ⁊ roides ⁊ lons,1,l-317r-1-7,317r,1,
24,Hauz eſt ⁊ ſieſt trop felons,1,l-317r-1-8,317r,1,
25,Il n'emble ne paſſe netrote,1,l-317r-1-9,317r,1,
26,Il ne vaut pas vne viez bote,1,l-317r-1-10,317r,1,
27,⁊ qñt on fiert ⁊ il trebuce,1,l-317r-1-11,317r,1,
28,Il chiet c'une pourie huce,1,l-317r-1-12,317r,1,
29,⁊ ſi ne ſai que ce puet eſtre,1,l-317r-1-13,317r,1,
30,Il mengue tout sō cheueſtre,1,l-317r-1-14,317r,1,
31,⁊ ſi eſt de mauueiſe loi,1,l-317r-1-15,317r,1,
32,Car il a le mal /ſainte loi,1,l-317r-1-16,317r,1,
33,Les barbes a ⁊ le lenpas,1,l-317r-1-17,317r,1,
34,Maueiſement va trop ⁊ pas,1,l-317r-1-18,317r,1,
35,Ie croi qⁱl fu nez en enfer,1,l-317r-1-19,317r,1,
36,En pié ne li demeure fer,1,l-317r-1-20,317r,1,
37,⁊ ſi a derriere vne courbe,1,l-317r-1-21,317r,1,
38,Qⁱ al'al՚ ml՚t li deſtourbe,1,l-317r-1-22,317r,1,
39,⁊ ſa ferine ⁊ ſa molete,1,l-317r-1-23,317r,1,
40,Il eſt chetiue beſtelete,1,l-317r-1-24,317r,1,
41,En coꝛdez eſt deuāt derriere,1,l-317r-1-25,317r,1,
42,Oꝛeilles pendanz mate chiere,1,l-317r-1-26,317r,1,
43,Farſilleꝰ eſt ſa les relens,1,l-317r-1-27,317r,1,
44,Il eſt mauais ⁊ ſi eſt lens,1,l-317r-1-28,317r,1,
45,En coꝛe plus imeterons,1,l-317r-1-29,317r,1,
46,Il eſt trop durs a esꝑons,1,l-317r-1-30,317r,1,
47,⁊ ſi voꝰ di ſe diex m'auoie,1,l-317r-1-31,317r,1,
48,Il chiet en rue ⁊ en voie,1,l-317r-1-32,317r,1,
49,Foi que ie doi ames .ii. maīs,1,l-317r-1-33,317r,1,
50,Des mehains n'i a mie maīs,1,l-317r-1-34,317r,1,
51,Paeureux. onbꝛageꝰ. reſteux,1,l-317r-1-35,317r,1,
52,Onq՚s mes chuaꝰ ne fu tiex,1,l-317r-1-36,317r,1,
53,Des pꝰ le tens de/ꝑce val,1,l-317r-1-37,317r,1,
54,Ne veiſtes ſi fier cheual,1,l-317r-1-38,317r,1,
55,Lons eſt d'eſchines espies neus,1,l-317r-2-1,317r,2,
56,Courbatꝰ ēfoſſet ⁊ creus,1,l-317r-2-2,317r,2,
57,Il ſera ml՚t bons a voꝰ tieus,1,l-317r-2-3,317r,2,
58,Oꝛl'achates ſe voꝰ voles,1,l-317r-2-4,317r,2,
59,Vendꝰ eſt ſe ne voꝰ haſtes,1,l-317r-2-5,317r,2,
