line_no,text,lg,l_id,folio,col,speaker
1,A dame bele et bone et ſage,1,l-153v-1-1,153v,1,
2,Noble de cuer ⁊ de lignage,1,l-153v-1-2,153v,1,
3,Cilz qⁱ ſon doꝰ non volt eſcrire,1,l-153v-1-3,153v,1,
4,Q՚ ꝑ ce ne puiſt de meſdire,1,l-153v-1-4,153v,1,
5,Aus meſdiſans ouurir la voie,1,l-153v-1-5,153v,1,
6,En lieu de ſa lu li enuoie,1,l-153v-1-6,153v,1,
7,Sō cuer et toute ſa pēſee,1,l-153v-1-7,153v,1,
8,Auec ceſte oeure q՚ rimee,1,l-153v-1-8,153v,1,
9,A pour li eſpeciaum̄t,1,l-153v-1-9,153v,1,
10,Mais cōm̄t q՚ pͥncipaum̄t,1,l-153v-1-10,153v,1,
11,L'ait poꝛ li faite ⁊ acōplie,1,l-153v-1-11,153v,1,
12,Toute voies ne l'oſe mie,1,l-153v-1-12,153v,1,
13,Droitem̄t a lui ēuoier,1,l-153v-1-13,153v,1,
14,Car il ne veult pas auoier,1,l-153v-1-14,153v,1,
15,Les enuieus de mal pēſer,1,l-153v-1-15,153v,1,
16,Ains les en veult,1,l-153v-1-16,153v,1,
17,S'il puet tenſer,1,l-153v-1-17,153v,1,
18,Et ſi ne ſcet auſſi de voir,1,l-153v-1-18,153v,1,
19,S'ele le vouldꝛoit receuoir,1,l-153v-1-19,153v,1,
20,Sil'ēuoie en pluiſeurs ꝑties,1,l-153v-1-20,153v,1,
21,A des amis a ſes amies,1,l-153v-1-21,153v,1,
22,Et a toꝰ ceꝰ gen՚alm̄t,1,l-153v-1-22,153v,1,
23,Qⁱ aīment biē ⁊ loiaum̄t,1,l-153v-1-23,153v,1,
24,Poꝛ ce ꝑ pluiſeurs li ēuoie,1,l-153v-1-24,153v,1,
25,Qⁱl veult qu'ē aucū lieu le voie,1,l-153v-1-25,153v,1,
26,Cele pour qui fu cōmēcie,1,l-153v-2-1,153v,2,
27,Et moiēne et ꝑfoꝛnie,1,l-153v-2-2,153v,2,
28,Car qñt la verra ou oꝛra,1,l-153v-2-3,153v,2,
29,Aꝑtem̄t ſauoir poꝛra,1,l-153v-2-4,153v,2,
30,Q՚ poꝛ ſ'amoꝛ aeſte faite,1,l-153v-2-5,153v,2,
31,Car de tel choſe,1,l-153v-2-6,153v,2,
32,A de dens traite.,1,l-153v-2-7,153v,2,
33,Q՚ veoir poꝛra clerem̄t,1,l-153v-2-8,153v,2,
34,Q՚ c'eſt fait poꝛli ppꝛem̄t,1,l-153v-2-9,153v,2,
35,Ne nulz autres ne le ſaura,1,l-153v-2-10,153v,2,
36,Se ꝑ li n'eſt ne ia n'aura,1,l-153v-2-11,153v,2,
37,Pooir q՚il ſ'en aꝑcoiue,1,l-153v-2-12,153v,2,
38,Si li pꝛi q՚le en gre recoiue,1,l-153v-2-13,153v,2,
39,Q՚ poꝛ li l'ay ēpꝛis a faire,1,l-153v-2-14,153v,2,
40,Car moult eſt franche,1,l-153v-2-15,153v,2,
41,Et de bonnaire.,1,l-153v-2-16,153v,2,
42,Et puis cōmēce a ſa matiere,1,l-153v-2-17,153v,2,
43,Qⁱ cōmēce en ceſte maniere,1,l-153v-2-18,153v,2,
44,Seignoꝛ i'ai oy des m'ēface,2,l-153v-2-19,153v,2,
45,Q՚ ſa gc̃e fiſt demouſtrāce,2,l-153v-2-20,153v,2,
46,Aucune fois de verite,2,l-153v-2-21,153v,2,
47,Poꝛ ce mes mos ay recite,2,l-153v-2-22,153v,2,
48,Que voloir de dire,2,l-153v-2-23,153v,2,
49,.I. ſonge ay.,2,l-153v-2-24,153v,2,
50,N'a pas gramment,2,l-153v-2-25,153v,2,
51,Que le ſoniay.,2,l-153v-2-26,153v,2,
52,Une nuit ē tēps de moiſſōs,3,l-153v-2-27,153v,2,
53,Eſtoie en mō lit aſoiſſōs,3,l-153v-2-28,153v,2,
54,Foꝛm̄t du cuer pēſis ꝑm'ame,3,l-153v-2-29,153v,2,
55,Ce fu la veille nr՚e dame,3,l-153v-2-30,153v,2,
56,Ꝯ appella l'aſſūption,3,l-153v-2-31,153v,2,
57,Penſant en bone entenciō,3,l-153v-2-32,153v,2,
58,Q՚ loīg de mō pais eſtoie,3,l-153v-2-33,153v,2,
59,Ne pas toſt venir n'i pooie,3,l-153v-2-34,153v,2,
60,En cele nuit me fu auis,3,l-153v-2-35,153v,2,
61,Q՚ ie fui ꝑ oiſiaꝰ rauis,3,l-153v-2-36,153v,2,
62,Et poꝛtez en vne foꝛeſt,3,l-153v-2-37,153v,2,
63,Q՚ loꝛs eſtoit ⁊ ēcoꝛe eſt,3,l-153v-2-38,153v,2,
64,Se cele eſt tele cō ie cuidoie,3,l-154r-1-1,154r,1,
65,Q՚ elle eſtoit qñt ie ſonioie,3,l-154r-1-2,154r,1,
66,Plaīne de beſtes ml՚t diu՚ſes,3,l-154r-1-3,154r,1,
67,Verdes iānes bleues et ꝑſes,3,l-154r-1-4,154r,1,
68,Noires faunes yndes les vnes,3,l-154r-1-5,154r,1,
69,Blanches et noires Rouges bꝛunes,3,l-154r-1-6,154r,1,
70,Et les autres d'autre man՚e,3,l-154r-1-7,154r,1,
71,La auoit maīte beſte fiere,3,l-154r-1-8,154r,1,
72,Lyons liepars ⁊ autres beſtes,3,l-154r-1-9,154r,1,
73,Faiſans ꝑ le bois Grans tempeſtes,3,l-154r-1-10,154r,1,
74,De ſangles ⁊ de poꝛs ſauuages,3,l-154r-1-11,154r,1,
75,Retentiſſoit tous Li boſcages.,3,l-154r-1-12,154r,1,
76,Ours y auoit et vnicoꝛnes,3,l-154r-1-13,154r,1,
77,Et autres beſtes qⁱ ont coꝛnes,3,l-154r-1-14,154r,1,
78,Que dains cheuriaus Sauuages bous,3,l-154r-1-15,154r,1,
79,Qⁱ d'arbꝛiſſiaus bꝛouſtent Les bꝛous.,3,l-154r-1-16,154r,1,
80,Aueq՚s les ſauuages beſtes,3,l-154r-1-17,154r,1,
81,Et ſ'i auoit connīs ⁊ lieures,3,l-154r-1-18,154r,1,
82,Leus et gourpis ⁊ h՚icons,3,l-154r-1-19,154r,1,
83,Qⁱ ont poīgnās les pelicōs,3,l-154r-1-20,154r,1,
84,Et autres q՚ nōmer ne ſai,3,l-154r-1-21,154r,1,
85,N'ē ramēbꝛace ne les ay,3,l-154r-1-22,154r,1,
86,Poꝛ la plēté q՚ i'ē veoie,3,l-154r-1-23,154r,1,
87,Ainſi qu'ē pēſer eſtoie,3,l-154r-1-24,154r,1,
88,.I. po regardai deu՚s deſtre,3,l-154r-1-25,154r,1,
89,Ilec vne beſte vi neſtre,3,l-154r-1-26,154r,1,
90,Q՚ l'ē veoit d'une valee,3,l-154r-1-27,154r,1,
91,Qⁱ eſtoit d'oꝛties fermee,3,l-154r-1-28,154r,1,
92,De rōces ⁊ de foꝛt eſpines,3,l-154r-1-29,154r,1,
93,Poꝛ coi toutes Beſtes voiſines.,3,l-154r-1-30,154r,1,
94,Redoutoiēt foꝛm̄t a faire,3,l-154r-1-31,154r,1,
95,En la valee loꝛ repaire,3,l-154r-1-32,154r,1,
96,Qui de la beſte la faiture,4,l-154r-1-39,154r,1,
97,Poꝛroie deuiſer gñt cure,4,l-154r-2-1,154r,2,
98,Conuēdꝛoit metre au racōter,4,l-154r-2-2,154r,2,
99,Et ſi ne poꝛroit riens mōter,4,l-154r-2-3,154r,2,
100,A ce c'ō peuſt biē deſcrire,4,l-154r-2-4,154r,2,
101,Sa biaute tāt ya a dire,4,l-154r-2-5,154r,2,
102,D'une choſe me merueilloie.,4,l-154r-2-6,154r,2,
103,Qñt cele beſte regardoie,4,l-154r-2-7,154r,2,
104,Qⁱl n'i auoit beſte nis vne,4,l-154r-2-8,154r,2,
105,Tant fuſt eſtrāge ne ꝯmune,4,l-154r-2-9,154r,2,
106,Q՚le n'euſt de loꝛ coulour,4,l-154r-2-10,154r,2,
107,Tant receuoit elle du lour,4,l-154r-2-11,154r,2,
108,Sans faire a elles Nul domage.,4,l-154r-2-12,154r,2,
109,Ml՚t regardai ꝑ le boſcage,4,l-154r-2-14,154r,2,
110,Mais ie ne vis nis vne beſte,4,l-154r-2-15,154r,2,
111,Qⁱ a cele ne feiſt feſte,4,l-154r-2-16,154r,2,
112,Ꝑ ſamblāt pas ne le haoiēt,4,l-154r-2-17,154r,2,
113,Car aleur pooir l'apꝛochoiēt,4,l-154r-2-18,154r,2,
114,V՚s li toꝛnoiēt loꝛs ſentiers,4,l-154r-2-19,154r,2,
115,Tant l'a ˞pchoiēt volent՚s,4,l-154r-2-20,154r,2,
116,Poꝛ l'amoꝛ de ſa douce alaine,4,l-154r-2-21,154r,2,
117,Car douce eſtoit et bone ⁊ ſaīne,4,l-154r-2-22,154r,2,
118,Poꝛ ſ'alaine qui en iſſoit,4,l-154r-2-23,154r,2,
119,De treſtoꝰ mauls,4,l-154r-2-24,154r,2,
120,Les guariſſoit.,4,l-154r-2-25,154r,2,
121,Poꝛ ce toutes cōmunaum̄t,4,l-154r-2-26,154r,2,
122,Les ſuiuoient foꝛs ſeulem̄t,4,l-154r-2-27,154r,2,
123,Li dꝛagons qui ne la poꝛroit,4,l-154r-2-28,154r,2,
124,Sentir poꝛ ce q՚ il moꝛroit,4,l-154r-2-29,154r,2,
125,Tātos qⁱl ſētiroit l'a laīne,4,l-154r-2-30,154r,2,
126,Qⁱ les autres a ſāte maīne,4,l-154r-2-31,154r,2,
127,Car en li tant venin habōde,4,l-154r-2-32,154r,2,
128,Qⁱl ne puet ſētir choſe mōde,4,l-154r-2-33,154r,2,
129,Poꝛ ce qñt ſauoit ſa venue,4,l-154r-2-34,154r,2,
130,N'i auoit puis regne tenue,4,l-154r-2-35,154r,2,
131,Mais a gñt erre ſ'ē toꝛnoit,4,l-154r-2-36,154r,2,
132,Es leus de ſers ⁊ deſtoꝛnoit,4,l-154r-2-37,154r,2,
133,Toutes les beſtes miex valoiēt,4,l-154r-2-38,154r,2,
134,De ſa doucour qñt l'i trouuoiēt,4,l-154r-2-39,154r,2,
135,Pour quoie chaſcus biē dire ē doit,4,l-154v-1-1,154v,1,
136,E q՚chaſcune en amendoit,4,l-154v-1-2,154v,1,
137,Tele beſte ſoit beneoite,4,l-154v-1-3,154v,1,
138,Ꝑ cui a biē faire conuoite,4,l-154v-1-4,154v,1,
139,Chaſcune beſte qui le voit,4,l-154v-1-5,154v,1,
140,Et qñt ainſi ouure auoit,4,l-154v-1-6,154v,1,
141,La beſte ꝑ gñt atēpꝛāce,4,l-154v-1-7,154v,1,
142,Receuoit ꝑ ſa ſouſtenāce,4,l-154v-1-8,154v,1,
143,Et ſans plus q՚ l'ē conuenoit,4,l-154v-1-9,154v,1,
144,Treſtout ainſi ſe maītenoit,4,l-154v-1-10,154v,1,
145,Et puis aloit en ſō repaire,4,l-154v-1-11,154v,1,
146,Sans fair aus,4,l-154v-1-12,154v,1,
147,Autres nul cōtraire,4,l-154v-1-13,154v,1,
148,Et qñt les autres ne venoiēt,4,l-154v-1-14,154v,1,
149,Tantoſt cele place leſſoient,4,l-154v-1-15,154v,1,
150,Si ſ'ē aloient l'autre ꝑt,4,l-154v-1-16,154v,1,
151,Si cō foꝛtune les deꝑt,4,l-154v-1-17,154v,1,
152,Qñt du lieu furent deſeruees,5,l-154v-1-18,154v,1,
153,Les beſtes ⁊ ailloꝛs alees,5,l-154v-1-19,154v,1,
154,Loꝛs demoꝛai ſās ꝯpaignie,5,l-154v-1-20,154v,1,
155,Si fui en grant merancolie,5,l-154v-1-21,154v,1,
156,Ꝯm̄t aucun trouu՚ poꝛroie,5,l-154v-1-22,154v,1,
157,Q՚ de ce q՚ veü auoie,5,l-154v-1-23,154v,1,
158,Me deiſt la ſignifiāce,5,l-154v-1-24,154v,1,
159,Ie n'i fis gueres d'arreſtāce,5,l-154v-1-25,154v,1,
160,Qñt ie de dens le bois oy,5,l-154v-1-26,154v,1,
161,Tel choſe qui ml՚t m'eſioi,5,l-154v-1-27,154v,1,
162,Car i'oi ſi gñt melodie,5,l-154v-1-28,154v,1,
163,C'onq՚s tele ne fu oye,5,l-154v-1-29,154v,1,
164,En citoles ⁊ ē vieles,5,l-154v-1-30,154v,1,
165,Oy faire notes nouueles,5,l-154v-1-31,154v,1,
166,Danſes et ſons poiteuinois,5,l-154v-1-32,154v,1,
