line_no,text,lg,l_id,folio,col,speaker
1,Auſſi com cil qui garde en mue,1,l-86v-1-10,86v,1,
2,Son oiſel qui ne ſe remue,1,l-86v-1-11,86v,1,
3,Detout liueꝛ iuſques aleſte,1,l-86v-1-12,86v,1,
4,Qñt uoit q՚ la u՚dure ÷ dꝛue,1,l-86v-1-13,86v,1,
5,Qⁱl veut que ſon oiſel ſemue,1,l-86v-1-14,86v,1,
6,⁊ deplume et deuolente,1,l-86v-1-15,86v,1,
7,Qñt autens renouuele,1,l-86v-1-16,86v,1,
8,Q՚ il na mes pieca vole,1,l-86v-1-17,86v,1,
9,P˞ ſoulacieꝛ lepꝛent et rue,1,l-86v-1-18,86v,1,
10,⁊ quant il a de lair taſte,1,l-86v-1-19,86v,1,
11,Poy li chaut du tans q̃ gaſté,1,l-86v-1-20,86v,1,
12,Ainſi ai mamie ꝑdue,1,l-86v-1-21,86v,1,
13,Ie fui aufueꝛ du faucōnieꝛ,2,l-86v-1-22,86v,1,
14,Quant il pꝛant .i. faucon lanieꝛ,2,l-86v-2-1,86v,2,
15,Voulentieꝛs lapꝛiue ſeꝛoit,2,l-86v-2-2,86v,2,
16,⁊ ſi licouſte mout alacointieꝛ,2,l-86v-2-3,86v,2,
17,Et ſi lepeꝛt moult delegieꝛ,2,l-86v-2-4,86v,2,
18,Si lepeꝛt ce neſt mie dꝛoit,2,l-86v-2-5,86v,2,
19,Lafame eſt bien de tel endꝛoit,2,l-86v-2-6,86v,2,
20,Q՚ qui plus laīme ⁊ plus lacroit,2,l-86v-2-7,86v,2,
21,Si penſelle dengingnieꝛ,2,l-86v-2-8,86v,2,
22,Celle fame maudite ſoit,2,l-86v-2-9,86v,2,
23,Qⁱ aup՚mieꝛ loume decoit,2,l-86v-2-10,86v,2,
24,⁊ puis reſemble leſp՚uieꝛ,2,l-86v-2-11,86v,2,
25,Iele di pour mamie chieꝛe,2,l-86v-2-12,86v,2,
26,Qⁱ biau ſemblant et bele chieꝛe,2,l-86v-2-13,86v,2,
27,Mefiſt alen coumencement,2,l-86v-2-14,86v,2,
28,Mes oꝛ la truis ueꝛs moy ſi fieꝛe,2,l-86v-2-15,86v,2,
29,Pour .i. autre mamis arrieꝛe,2,l-86v-2-16,86v,2,
30,Ci a petit acointement,2,l-86v-2-17,86v,2,
31,Ielai ſeꝛuie bonnement,2,l-86v-2-18,86v,2,
32,Elle men rent lepaiement,2,l-86v-2-19,86v,2,
33,Auſſi com de tous en riuieꝛeſe ie,2,l-86v-2-20,86v,2,
34,Seꝛuie leuſſe autrementſceuſſe,2,l-86v-2-21,86v,2,
35,A laguiſe deſa manieꝛe sō cōuēt,2,l-86v-2-22,86v,2,
36,Mes li homs ſemble lepoiſſon,3,l-86v-2-47,86v,2,
37,Qui par trace ſuit lamecon,3,l-86v-2-48,86v,2,
38,Et fait que il pꝛiſe alain,3,l-86v-2-49,86v,2,
39,Il ne ſcet pas la traiſon,3,l-86v-2-50,86v,2,
40,⁊ ce que on amis en ſon,3,l-86v-2-51,86v,2,
41,Deuant q՚ il eſt p՚s alamain,3,l-86v-2-52,86v,2,
42,Ainſſi fet fame acueꝛ vilain,3,l-86v-2-53,86v,2,
43,Qⁱ dit moncueꝛ mamoꝛ ietain,3,l-86v-2-54,86v,2,
44,Biau ſemblant et cueꝛ debon,3,l-86v-2-55,86v,2,
45,De telles en ia tout plain,3,l-86v-2-56,86v,2,
46,Nemeblaſmes ſeieme plain,3,l-86v-2-57,86v,2,
47,Ie ne me duel ſe d'une non,3,l-86v-2-58,86v,2,
48,Puis q՚ fame quieꝛt le ſoulas,4,l-86v-2-59,86v,2,
49,Dautre tenir entre ſes bꝛas,4,l-86v-2-60,86v,2,
50,Q՚ celui dont elle eſt acointe,4,l-86v-2-61,86v,2,
51,Soit sō mari ou no ſoit pas,4,l-86v-2-62,86v,2,
52,Il eſt fox par /ſaint nicholas,4,l-87r-1-1,87r,1,
