line_no,text,lg,l_id,folio,col,speaker
1,HOm de gent de vaillance eſtrait,1,l-279v-1-5,279v,1,
2,Les poins de nature Meſtrais.,1,l-279v-1-6,279v,1,
3,Se le maī en tō cuer aſſābles,1,l-279v-1-7,279v,1,
4,⁊ les pꝛeudōmes neresābles,1,l-279v-1-8,279v,1,
5,Dont tuies eſtrais ⁊ venus,1,l-279v-1-9,279v,1,
6,⁊ ſe tu es mauuais tenus,1,l-279v-1-10,279v,1,
7,C'eſt .i. lais nōs ⁊ deſpiteuz,1,l-279v-1-11,279v,1,
8,Ml՚t deuroies eſtre honteuz,1,l-279v-1-12,279v,1,
9,Se tu te conniſſoies bn̄.,1,l-279v-1-13,279v,1,
10,Qñt de ton cuer oſtes le bn̄,1,l-279v-1-14,279v,1,
11,⁊ auretenir le mal tens,1,l-279v-1-15,279v,1,
12,Oꝛ ce trai ca ⁊ ſi m'entens,1,l-279v-1-16,279v,1,
13,⁊ ſi pꝛen garde amō chaſtoi,1,l-279v-1-17,279v,1,
14,Tu fais tu p՚mier hōte atoi,1,l-279v-1-18,279v,1,
15,Ap՚s aceulz qⁱ t'aꝑtiennēt,1,l-279v-1-19,279v,1,
16,Qñt les genz loꝛ ꝑlem̄t tiēnēt,1,l-279v-1-20,279v,1,
17,De toi en mal c'eſt hōte lais,1,l-279v-1-21,279v,1,
18,Pꝰ q՚ le bn̄ afaire lais,1,l-279v-1-22,279v,1,
19,Q՚ tu doiz faire ꝑ nature,1,l-279v-1-23,279v,1,
20,Ꝑ dꝛoit doit gentiex creature,1,l-279v-1-24,279v,1,
21,As gētiex dont elle iſt ret̃ire,1,l-279v-1-25,279v,1,
22,Dont tu doiz ē tō cuer atraire,1,l-279v-1-26,279v,1,
23,Nul vilain vice ⁊ ſ'il y eſt,1,l-279v-1-27,279v,1,
24,Ne lidoiz laiſſier faire arreſt,1,l-279v-1-28,279v,1,
25,Car li homs eſtrais de noblece,1,l-279v-2-1,279v,2,
26,A le cuer plaī de gñt foiblece,1,l-279v-2-2,279v,2,
27,Se vilōnie hoꝛs n'ē chace,1,l-279v-2-3,279v,2,
28,⁊ cil qⁱ ſa honte pourchace,1,l-279v-2-4,279v,2,
29,Aſſez legierement yvient,1,l-279v-2-5,279v,2,
30,⁊ ceſt choſe qui mal avient,1,l-279v-2-6,279v,2,
31,A celui qⁱ gentiex doit eſtre,1,l-279v-2-7,279v,2,
32,Qñt on le tiont de vilain eſtͤ,1,l-279v-2-8,279v,2,
33,Dont diex ⁊ li mōdes le het,1,l-279v-2-9,279v,2,
34,S'endiſt chaſcuns du pͥs qͥl ſet,1,l-279v-2-10,279v,2,
35,P˞ ce qⁱl ne fait ce qⁱl doit,1,l-279v-2-11,279v,2,
36,L'un ſe fait ē ſeignier audoit,1,l-279v-2-12,279v,2,
37,Qⁱ diſt iamules ne ſera,1,l-279v-2-13,279v,2,
38,Li autres diſt qⁱl paſſera,1,l-279v-2-14,279v,2,
39,Les mauuais car il q՚urt ap՚s,1,l-279v-2-15,279v,2,
40,⁊ enſem̄t ⁊ loing ⁊ pꝛés,1,l-279v-2-16,279v,2,
41,Ē diſt chaſcuns laide ꝑole,1,l-279v-2-17,279v,2,
42,⁊ aucūs qñt on en ꝑole,1,l-279v-2-18,279v,2,
43,Met ꝑ ꝯtraire au fier ſa maī,1,l-279v-2-19,279v,2,
44,⁊ diſt ſ'on ēꝑloit au main,1,l-279v-2-20,279v,2,
45,On n'ē ſeroit ia le iour aiſe,1,l-279v-2-21,279v,2,
46,Enſi ſa maniere mauuaiſe,1,l-279v-2-22,279v,2,
47,Ē fait ꝑ tout dire lait conte,1,l-279v-2-23,279v,2,
48,Ia m'amera hono˞ qⁱ honte,1,l-279v-2-24,279v,2,
49,Ne crient atoi le faiz ſauoir,1,l-279v-2-25,279v,2,
50,Hom ſe tu veulz hono˞ auoir,1,l-279v-2-26,279v,2,
51,Crien hōte ahono˞ ꝑ uendꝛas,1,l-279v-2-27,279v,2,
52,Pꝰ qu'ē ceſt chemin te tēdꝛas,1,l-279v-2-28,279v,2,
53,Sanz faille ſe tu as eur,1,l-279v-2-29,279v,2,
54,Ia n'i fauras ce t'aſſeur,1,l-279v-2-30,279v,2,
55,Iones hons filz de gñt ſeigno˞,1,l-279v-2-31,279v,2,
56,Entēt ci ſe veulz a hōnour,1,l-279v-2-32,279v,2,
57,Venir ⁊ en auancem̄t,1,l-279v-2-33,279v,2,
58,Prendꝛe en doiz leꝯm̄cem̄t,1,l-279v-2-34,279v,2,
59,Entr'eulz q՚ tu es jones dans,1,l-279v-2-35,279v,2,
60,Car ſ'a honn˞ es entendans,1,l-279v-2-36,279v,2,
61,Se de iouuēte en toi ꝯmence,1,l-279v-2-37,279v,2,
62,As dꝛoit y rep՚nt ſa ſemēce,1,l-279v-2-38,279v,2,
63,Toudiz de plus enplꝰ croiſtra,1,l-280r-1-1,280r,1,
64,⁊ tant q՚ chaſcuns ꝯnoiſtra,1,l-280r-1-2,280r,1,
65,Q՚ tuas a honn˞ beance,1,l-280r-1-3,280r,1,
66,Si te vient de dꝛoite eſceance,1,l-280r-1-4,280r,1,
67,De ton taion ou de ton pere,1,l-280r-1-5,280r,1,
68,⁊ certes li homs bel ſe pere,1,l-280r-1-6,280r,1,
69,Qⁱ en iouuēte ſe lait duire,1,l-280r-1-7,280r,1,
70,⁊ vns pꝛou՚bes noꝰ rep՚nt,1,l-280r-1-8,280r,1,
71,Qⁱ ce q՚ li nouuiaus nez pꝛēt,1,l-280r-1-9,280r,1,
72,Ē bn̄ poꝛ a honn˞ conduire,1,l-280r-1-10,280r,1,
73,Qñt il eſt viex il ſe ſaueure,1,l-280r-1-11,280r,1,
74,Dont ne dois en tō cuer vne heure,1,l-280r-1-12,280r,1,
75,Vilaine teche conſentir,1,l-280r-1-13,280r,1,
76,Mais ſi toſt q՚ le puez ſentir,1,l-280r-1-14,280r,1,
77,Fai tant q՚ le chaces en voie,1,l-280r-1-15,280r,1,
78,⁊ au bn̄ faire te rauoie,1,l-280r-1-16,280r,1,
79,Oꝛ yatel n'eſt pas ſi ſages,1,l-280r-1-17,280r,1,
80,Qⁱl ꝯnoiſſe touz maus vſages,1,l-280r-1-18,280r,1,
81,C'il doit des bons le ꝯ ſeil croire,1,l-280r-1-19,280r,1,
82,⁊ de ſa folie recroire,1,l-280r-1-20,280r,1,
83,Ꝑ le ꝯ ſeil des bonnes gens,1,l-280r-1-21,280r,1,
84,Cis poīs li eſt ⁊ bons ⁊ gens,1,l-280r-1-22,280r,1,
85,Car trop laidem̄t ſe ſourduiſt,1,l-280r-1-23,280r,1,
86,Se il en mal faire ſeduiſt,1,l-280r-1-24,280r,1,
87,Car li gentiex doit ꝑ (na)ture,1,l-280r-1-25,280r,1,
88,Auoir courtoiſe nourreture,1,l-280r-1-26,280r,1,
89,Qⁱ le bn̄ li mouſtre ⁊ le duiſe,1,l-280r-1-27,280r,1,
90,Ꝑ quoi ahonn˞ ſe ꝯduiſe,1,l-280r-1-28,280r,1,
91,Ne aoꝛdure ne ſ'aſſente,1,l-280r-1-29,280r,1,
92,Mais auſſi toſt ꝯme il le sēte,1,l-280r-1-30,280r,1,
93,Deſoncuer hoꝛs le deſracine,1,l-280r-1-31,280r,1,
94,Car qñt bōs viſces ſ'ē racine,1,l-280r-1-32,280r,1,
95,Trop eſt foꝛs adeſraciner,1,l-280r-1-33,280r,1,
96,Atant voult sō chaſtoi finer,1,l-280r-1-34,280r,1,
97,/Iehans de /conde/ qͥ repꝛent,1,l-280r-1-35,280r,1,
98,Celui qͥ ot ⁊ riens n'apꝛent,1,l-280r-1-36,280r,1,
99,Bn̄ fera li homs arep՚ndꝛe,1,l-280r-1-37,280r,1,
100,Qⁱ ne voudꝛa a garde p՚ndꝛe.,1,l-280r-1-38,280r,1,
