line_no,text,lg,l_id,folio,col,speaker
1,A toutes bones gens ne devroit pas deſplaire,1,l-104v-2-1,104v,2,
2,Oÿr de /Nostre Dame Bon example retraire,1,l-104v-2-2,104v,2,
3,Car on y puet des coꝛps Les ames ſauves faire,1,l-104v-2-3,104v,2,
4,A ceulz a qui deſpleſt Doit toꝛner a contraire,1,l-104v-2-4,104v,2,
5,Par bon example oir Se puet l'en amender,2,l-104v-2-5,104v,2,
6,Et vous en voudꝛa[i] dire Sel volez eſcouter,2,l-104v-2-6,104v,2,
7,Comment /la douce Dame Sot ſes amis garder,2,l-104v-2-7,104v,2,
8,Du mauvais qui les veult Souspꝛendꝛe et engignier,2,l-104v-2-8,104v,2,
9,Quant plus eſt homme et fame vers Dieu humilieus,3,l-104v-2-9,104v,2,
10,Et vers /ſa douce Mere De grace gracieus,3,l-104v-2-10,104v,2,
11,Plus eſt li ennemis D'engingnier curieus,3,l-104v-2-11,104v,2,
12,Ne ſi n'en ſera ja Jour ne nuit oublieus,3,l-104v-2-12,104v,2,
13,Il nous eſt teſmoignié En la ſainte Eſcripture,4,l-104v-2-13,104v,2,
14,.II. chevaliers eſtoient Li uns plains de luxure,4,l-104v-2-14,104v,2,
15,En amer Dieu ne ſaint Ne miſt onques ſa cure,4,l-104v-2-15,104v,2,
16,Ne a /la Mere Dieu /Qui eſt et nete et pure,4,l-104v-2-16,104v,2,
17,Certes mal l'en avint Auſi com vous oꝛrez,5,l-104v-2-17,104v,2,
18,Se je en ſui de vous Creu ne eſcoutez,5,l-104v-2-18,104v,2,
19,De l'autre ch[eva]l[ie]r Avant parler oꝛrez,5,l-104v-2-19,104v,2,
20,Qui moult eſtoit pꝛeudons De /Nostre Dame amez,5,l-105r-1-1,105r,1,
21,Il eſtoit moult vaillant Et plain de bone vie,6,l-105r-1-2,105r,1,
22,Si avoit /Nostre Dame Honoꝛee et ſervie,6,l-105r-1-3,105r,1,
23,En ſon vivant li fu Sa grant bonté merie,6,l-105r-1-4,105r,1,
24,Encoꝛe miex aſſez Que ſ'ame en fu guerie,6,l-105r-1-5,105r,1,
25,Ces .ii. chevaliers furent Andeulz de grant renon,7,l-105r-1-6,105r,1,
26,Il ſ'entr'amerent moult Si furent compaignon,7,l-105r-1-7,105r,1,
27,Mais li pꝛeudons a l'autre Mouvoit ſouvent tencon.,7,l-105r-1-8,105r,1,
28,S'il le vouſiſt croire De ſa ſalvation,7,l-105r-1-9,105r,1,
29,Entre les .ii. maiſons Pres d'une liue avoit,8,l-105r-1-10,105r,1,
30,De bois grant et foillu Qui a eulz .ii. eſtoit,8,l-105r-1-11,105r,1,
31,Mais li pꝛeudons ſouvent Ꝑar grant amour venoit,8,l-105r-1-12,105r,1,
32,A l'autre de bien faire Souvent l'admonneſtoit,8,l-105r-1-13,105r,1,
