line_no,text,lg,l_id,folio,col,speaker
1,A la douce louenge De /la Vierge Marie,1,l-99v-1-1,99v,1,
2,Veil dire .i. biau dit Qui eſt ſanz vilenie,1,l-99v-1-2,99v,1,
3,Poꝛ prendꝛe bone eſſemple En ceſte moꝛtel vie,1,l-99v-1-3,99v,1,
4,De confeſſer touz ceus Qui n'en on eu envie,1,l-99v-1-4,99v,1,
5,Un moult bel eſſemplaire vous vodꝛai recoꝛder,2,l-99v-1-5,99v,1,
6,Coment /la douce Dame Sait ſes amis ſauver,2,l-99v-1-6,99v,1,
7,Encontre l'anemi Qui nous veüſt craventer,2,l-99v-1-7,99v,1,
8,Et nos deſvoie touz Que n'aillons confeſſer,2,l-99v-1-8,99v,1,
9,Jadis une boꝛgoiſe Demourant a /Romme,3,l-99v-1-9,99v,1,
10,Moult eſtoit bele dame Et ſon mari jonne home,3,l-99v-1-10,99v,1,
11,Il ſ'entramoient moult D'avoir oꝛent grant ſomme,3,l-99v-1-11,99v,1,
12,As povres genz donnoient Aſſez de biens par /Romme,3,l-99v-1-12,99v,1,
13,De leur biensfez eſtoit Par tot le renon grant,4,l-99v-1-13,99v,1,
14,Il oꝛent de .ii. anz .I. moult tres bel enfant,4,l-99v-1-14,99v,1,
15,Il eſtoit valeton Si l'amerent foꝛment,4,l-99v-1-15,99v,1,
16,Li preudon n'en ot plus En treſtot ſon vivant,4,l-99v-1-16,99v,1,
17,Une nuit jut malades En ſon lit li boꝛgois,5,l-99v-1-17,99v,1,
18,C'eſt le lit de la moꝛt Dont nullui n'a defois,5,l-99v-1-18,99v,1,
19,A ſa fame ala Si li dit maintes fois,5,l-99v-1-19,99v,1,
20,Plusſiex [mos] qui ſunt mout A /Jhesucriſt coꝛtois,5,l-99v-2-1,99v,2,
21,Dame dit li boꝛgois Pour Dex je vous requier,6,l-99v-2-2,99v,2,
22,Donez aus povres genz Qui en ont grant meſtier,6,l-99v-2-3,99v,2,
23,Vous avez bien de quoi Diex devez mercier,6,l-99v-2-4,99v,2,
24,De voſtre enfant penſez Et ſi le tenez chier,6,l-99v-2-5,99v,2,
25,Sire dit la boꝛjoise Tout a vostre talant,7,l-99v-2-6,99v,2,
26,Aus povres genz Donrai aſſez et largement,7,l-99v-2-7,99v,2,
27,De voſtre enfant auſi Penſerai voirement,7,l-99v-2-8,99v,2,
28,Ja pis n'avra de moi Sachiez certainement,7,l-99v-2-9,99v,2,
29,Cil l'en a marcié Puis manda ſon curé,8,l-99v-2-10,99v,2,
30,Qui ſes dꝛoiz li donaſt Quant l'ot bien confeſſe,8,l-99v-2-11,99v,2,
31,Loꝛs a il le moꝛſel De la moꝛt enduré,8,l-99v-2-12,99v,2,
32,Qui n'eſpargne nullui Foꝛt. floibe n'aduré,8,l-99v-2-13,99v,2,
33,Grant duel fiſt la boꝛjoise Sachiez de ſon mari,9,l-99v-2-14,99v,2,
34,Car moult pert en ceſt ſiecle Qui pert un bon ami,9,l-99v-2-15,99v,2,
35,A tant me voudꝛai taire Plus n'en parlerai ci,9,l-99v-2-16,99v,2,
36,De ſon fil vous weil dire Coment il fu nouri,9,l-99v-2-17,99v,2,
37,La dame l'ama moult Mentir ne vous en quier,10,l-99v-2-18,99v,2,
38,Tant l'ama qu'ele fiſt Avecques lui couchier,10,l-99v-2-19,99v,2,
39,Il crut et enbarni Grant fu foꝛt et legier,10,l-100r-1-1,100r,1,
40,De li ne voſt ſa mere Tant ne quant eſloignier,10,l-100r-1-2,100r,1,
41,Li valez devint granz Si fu en bon aage,11,l-100r-1-3,100r,1,
42,De ſoi apercevoir Si dit en ſon courage,11,l-100r-1-4,100r,1,
