line_no,text,lg,l_id,folio,col,speaker
1,Touz ceus et toutes celles Qui croiront fermement,1,l-312v-2-6,312v,2,
2,Dou saint coꝛs /Jhesucriſt Le digne ſacremant,1,l-312v-2-7,312v,2,
3,A qui Diex a pꝛeſté Sens et entendement,1,l-312v-2-8,312v,2,
4,Ne doivent pas ouvrer Contre Dieu folement,1,l-312v-2-9,312v,2,
5,Chaſcun le doit ſervir De bon cuer ſan faintiſe,2,l-312v-2-10,312v,2,
6,Mes il ſont moult de gent Plains de granz covoitiſe,2,l-312v-2-11,312v,2,
7,Ce fait li anemi Qui les tient et juſtiſe,2,l-312v-2-12,312v,2,
8,Qui touz joꝛz de mal faire Les ſemont et atiſe,2,l-312v-2-13,312v,2,
9,Des que Dieu fiſt /Adan Et /Eve ſa moillier,3,l-312v-2-14,312v,2,
10,Les voſt li anemis Confondꝛe et engignier,3,l-312v-2-15,312v,2,
11,Quant i fiſt par /Evain /Adan le fruit mengier,3,l-313r-1-1,313r,1,
12,[.IIII.mil.]III.cenz. anz Les covint travaillier,3,l-313r-1-2,313r,1,
13,Mes le roy qui tout fiſt Et ciel et terre et mer,4,l-313r-1-3,313r,1,
14,Si ne les voſt pas perdꝛe Ainz les voſt tant amer,4,l-313r-1-4,313r,1,
15,Qu'il en ſoffrit ſon coꝛs D'un glaive a entamer,4,l-313r-1-5,313r,1,
16,Et ſon pꝛecieux ſanc Contre terre ſenner,4,l-313r-1-6,313r,1,
17,La moꝛt que il ſoffri Cel jour nous racheta,5,l-313r-1-7,313r,1,
18,Et a l'Aſanſion Aus ſainz ciez remonta,5,l-313r-1-8,313r,1,
19,Le jour de Penthecoſte Ses amis confoꝛta,5,l-313r-1-9,313r,1,
20,Des loꝛs en pain ſacré Son coꝛs repꝛeſenta,5,l-313r-1-10,313r,1,
21,Cil croit mauveſement Qui n'a ferme creance,6,l-313r-1-11,313r,1,
22,Que c'eſt le saint coꝛs Dieu Qui nos fiſt delivrance,6,l-313r-1-12,313r,1,
23,Ce que le pꝛeſtre en tient Et en fait remenbꝛance,6,l-313r-1-13,313r,1,
24,Autant comme /Longis En ferit de la lance,6,l-313r-1-14,313r,1,
25,De tel oiſte ſacree En Dieu priſt ſa figure,7,l-313r-1-15,313r,1,
26,Vous veil je raconter Merveilleuse aventure,7,l-313r-1-16,313r,1,
27,Ce fu moult bel eſſemple Mes l'eure fu oſcure,7,l-313r-1-17,313r,1,
28,Dont vous oꝛroiz la fin Et la verité pure,7,l-313r-1-18,313r,1,
29,Deſouz /Laon avint Iceſte grant merveille,8,l-313r-1-19,313r,1,
30,Je croi qu'en tot le mont N'ot onques ſa pareille,8,l-313r-2-1,313r,2,
31,Ce fiſt li anemis Que touz joꝛz ſe travaille,8,l-313r-2-2,313r,2,
32,Par coi puiſſe le monde Verſer en ſa coꝛbeille,8,l-313r-2-3,313r,2,
33,Une grant riche fame En cel pais eſtoit,9,l-313r-2-4,313r,2,
34,A la veüe du monde Beguine ſe faiſoit,9,l-313r-2-5,313r,2,
35,Mes nen ne ſavoit mie Ce qu'en ſon cuer penſoit,9,l-313r-2-6,313r,2,
36,Quar en grant avarice Tout ſon cuer mis avoit,9,l-313r-2-7,313r,2,
37,Et tant que il avint Et n'a pas longuement,10,l-313r-2-8,313r,2,
38,C'on vendoit le blé cher Et le pain enſement,10,l-313r-2-9,313r,2,
39,Celle don je vous di En vendoit largement,10,l-313r-2-10,313r,2,
40,Et moult avoit grant joie De l'encheriſſement,10,l-313r-2-11,313r,2,
41,Un jour envoia vendꝛe Dou blé par ſon ſergent,11,l-313r-2-12,313r,2,
42,Com celle qui eſtoit D'argent foꝛment engrant,11,l-313r-2-13,313r,2,
43,A icelle joꝛnee Fu plus cher que devant,11,l-313r-2-14,313r,2,
44,Ne qu'il ne fu apꝛés Ainz vint en abaiſſant,11,l-313r-2-15,313r,2,
45,Quant vint .viii. joꝛz aprés Dou blé envoia vendꝛe,12,l-313r-2-16,313r,2,
46,Et diſt a ſon ſergent Moult bien li ſot aprendꝛe,12,l-313r-2-17,313r,2,
47,Ne le donne pour mains Que tu ſoloies vendꝛe,12,l-313r-2-18,313r,2,
48,Non ferai je diſt cil Qui bien la ſot entendꝛe,12,l-313r-2-19,313r,2,
49,Loꝛs ſe miſt a la voie Et ſe pꝛiſt a haſter,13,l-313v-1-1,313v,1,
50,Onques juqu'au marchié Ne ſe voſt arreſter,13,l-313v-1-2,313v,1,
51,Son blé ne pot pas vendꝛe Ne n'en voſt pas laſchier,13,l-313v-1-3,313v,1,
52,A ſon oſtel arriere Se pꝛiſt a retoꝛner,13,l-313v-1-4,313v,1,
53,Li valez retoꝛna En ſon oſtel arriere,14,l-313v-1-5,313v,1,
54,Quant la dame le vit Si li fiſt laide chiere,14,l-313v-1-6,313v,1,
55,De rage et de foꝛſen A mué ſa maniere,14,l-313v-1-7,313v,1,
56,Loꝛs commence a maudire Sergent et chamberiere,14,l-313v-1-8,313v,1,
57,Pour la raiſon de ce Que le blé ſ'abaiſſa,15,l-313v-1-9,313v,1,
58,Dieu priſt a renoier Souvant ſe courouca,15,l-313v-1-10,313v,1,
