line_no,text,lg,l_id,folio,col,speaker
1,Il avint jadis en .i. temps,1,l-42r-1-5,42r,1,
2,Bien a paſſé .iiiic. ans,1,l-42r-1-6,42r,1,
3,Que il eſtoit .i. riches hom,1,l-42r-1-7,42r,1,
4,Je ne ſe pas nommeꝛ ſon non,1,l-42r-1-8,42r,1,
5,Mes il eſtoit de grant manieꝛe,1,l-42r-1-9,42r,1,
6,De pres de bois et deꝛiueꝛe,1,l-42r-1-10,42r,1,
7,Et de quan qua fieꝛt a riche homme,1,l-42r-1-11,42r,1,
8,De ce vous weil dire la ſomme,1,l-42r-1-12,42r,1,
9,Avoit de ce ne faut pas dire,1,l-42r-1-13,42r,1,
10,Liez hons eſtoit ſanz neſun ire,1,l-42r-1-14,42r,1,
11,Il avoit .i. manoir ſibel,2,l-42r-1-15,42r,1,
12,En bourc nen ville nen chaſtel,2,l-42r-1-16,42r,1,
13,Se le voir vous en weil conteꝛ,2,l-42r-1-17,42r,1,
14,En tout le monde n'ot ſon peꝛ,2,l-42r-2-1,42r,2,
15,Ne ſi biau ne ſi delitable,2,l-42r-2-2,42r,2,
16,Li contes vous enſembleꝛont fable,2,l-42r-2-3,42r,2,
17,Qui vous endiroit la facon,2,l-42r-2-4,42r,2,
18,Je ne cuit que ainz face hom,2,l-42r-2-5,42r,2,
19,Tel donion ne ſi riche tour,2,l-42r-2-6,42r,2,
20,Eſcoutez ſeigneur par amour,2,l-42r-2-7,42r,2,
21,Entour couroit une rivieꝛe,3,l-42r-2-8,42r,2,
22,Belle et cleꝛe degrant manieꝛe,3,l-42r-2-9,42r,2,
23,Qui enclooit tout le poꝛpꝛis,3,l-42r-2-10,42r,2,
24,Et un vergieꝛ qui fu depꝛis,3,l-42r-2-11,42r,2,
25,I avoit darbꝛes diaue enclos,3,l-42r-2-12,42r,2,
26,Cilz qui le fiſt ne fu pas ſols,3,l-42r-2-13,42r,2,
27,Ce fu .i. chevalier gentils,3,l-42r-2-14,42r,2,
28,Apres le peꝛe lot li fils,3,l-42r-2-15,42r,2,
29,Qui le vendi a un vilain,3,l-42r-2-16,42r,2,
30,Ainſi ala demain en main,3,l-42r-2-17,42r,2,
31,Tous ſavez bien que par mal hoir,4,l-42r-2-18,42r,2,
32,Se dechieent maint bel avoir,4,l-42r-2-19,42r,2,
33,Et mainte terre et mainte rente,4,l-42r-2-20,42r,2,
34,Par le ſur crois de male vente,4,l-42r-2-21,42r,2,
35,Liveꝛgieꝛs fu biaus adeuiſe,4,l-42r-2-22,42r,2,
36,Arbꝛes iot demainte guiſſe,4,l-42r-2-23,42r,2,
37,Que je ne ſe mie nommeꝛ,4,l-42r-2-24,42r,2,
38,Mes poꝛ voir vous puis raconter,4,l-42r-2-25,42r,2,
39,Qu'il y avoit roſes et flours,4,l-42r-2-26,42r,2,
40,Qui ietoient moult grans odours,4,l-42r-2-27,42r,2,
41,Et eſpices detel manieꝛe,4,l-42r-2-28,42r,2,
42,Que dame giſans en litieꝛe,4,l-42r-2-29,42r,2,
43,Qui malade fuſt et en feꝛme,4,l-42r-2-30,42r,2,
44,Sen iroit toute ſaine et ferme,4,l-42r-2-31,42r,2,
45,Pour tant que veꝛgier geüſt,4,l-42r-2-32,42r,2,
46,Et c'une nuit eſtre i peüſt,4,l-42r-2-33,42r,2,
47,De chieres heꝛbes fu garnis,5,l-42r-2-34,42r,2,
48,Et li preaus fu ſi omnis,5,l-42r-2-35,42r,2,
49,Qu'il ni avoit ne mont ne val,5,l-42r-2-36,42r,2,
50,Et li arbꝛe tuit parigal,5,l-42r-2-37,42r,2,
51,Eſtoient dun grant contremont,5,l-42r-2-38,42r,2,
52,Plus bel veꝛgier n'avoit u mont,5,l-42v-1-1,42v,1,
53,Ja tel fruit ni demandiſſiez,5,l-42v-1-2,42v,1,
54,Que vous trouveꝛ ni peuſſiez,5,l-42v-1-3,42v,1,
55,Ainſi eſtoient il tous temps,5,l-42v-1-4,42v,1,
56,Cilz qui le fiſt fu moult ſachans,5,l-42v-1-5,42v,1,
57,Il fu tous fais par nigremance,5,l-42v-1-6,42v,1,
58,Leans avoit mainte prouance,5,l-42v-1-7,42v,1,
59,Li veꝛgiers eꝛt et biaus et lons,5,l-42v-1-8,42v,1,
60,A compas tous fais et reons,5,l-42v-1-9,42v,1,
